source_path,reason_for_exclusion,file_size_mb,suggested_public_alternative
archive/legacy_geo_indexes/external_validation_round2_GSE190452_family.soft.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.002,Use source accession or rerun scripts; see environment_notes.md and results/audit.
celloracle_run/ko_round1/BHLHE40/BHLHE40_state_shift_scores.csv,excluded because file is a per-cell CellOracle score table; summaries are included,0.601,Use included overall/by-group CellOracle summary tables.
celloracle_run/ko_round1/NFE2L2/NFE2L2_state_shift_scores.csv,excluded because file is a per-cell CellOracle score table; summaries are included,0.598,Use included overall/by-group CellOracle summary tables.
celloracle_run/ko_round1/SOX2/SOX2_state_shift_scores.csv,excluded because file is a per-cell CellOracle score table; summaries are included,0.595,Use included overall/by-group CellOracle summary tables.
celloracle_run/ko_round1/THRB/THRB_state_shift_scores.csv,excluded because file is a per-cell CellOracle score table; summaries are included,0.594,Use included overall/by-group CellOracle summary tables.
celloracle_run/ko_round1/simulation_ready/oracle_round1_simulation_ready.celloracle.oracle,excluded because file is larger than 50 MB,168.812,"Use public accession, source database download, or processed summaries included in this release."
celloracle_run/network/links_round1_filtered.celloracle.links,excluded because extension .links is not suitable for lightweight public GitHub release,0.364,Use source accession or rerun scripts; see environment_notes.md and results/audit.
celloracle_run/network/links_round1_raw.celloracle.links,excluded because extension .links is not suitable for lightweight public GitHub release,0.370,Use source accession or rerun scripts; see environment_notes.md and results/audit.
celloracle_run/network/oracle_round1_base.celloracle.oracle,excluded because file is larger than 50 MB,149.014,"Use public accession, source database download, or processed summaries included in this release."
celloracle_run/prepared_data/astrocyte_pilot_celloracle_round1_input.h5ad,excluded because file is larger than 50 MB,112.035,"Use public accession, source database download, or processed summaries included in this release."
db/hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather,excluded because file is larger than 50 MB,296.877,"Use public accession, source database download, or processed summaries included in this release."
db/motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl,excluded because file is larger than 50 MB,94.145,"Use public accession, source database download, or processed summaries included in this release."
drug_repositioning/swissadme.csv,excluded because file is a manually supplied external SwissADME export; final processed summaries are included,0.005,Use included exploratory drug-signature summary tables or rerun manual annotation workflow.
external_validation/INPUT_REQUIREMENTS.txt,"excluded because file is raw data, cache, or bulky intermediate input",0.001,Use GEO accession and reconstruction scripts; processed summaries are included.
external_validation/input/external_validation.h5ad,excluded because file is larger than 50 MB,61.138,"Use public accession, source database download, or processed summaries included in this release."
external_validation/input/input_build_report.json,"excluded because file is raw data, cache, or bulky intermediate input",0.001,Use GEO accession and reconstruction scripts; processed summaries are included.
external_validation/input/input_build_report.txt,"excluded because file is raw data, cache, or bulky intermediate input",0.000,Use GEO accession and reconstruction scripts; processed summaries are included.
external_validation/source_gse140393/GSE140393_RAW.tar,excluded because file is larger than 50 MB,162.598,"Use public accession, source database download, or processed summaries included in this release."
external_validation/source_gse140393/GSE140393_family.soft.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.007,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160577_CL37Kbarcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,2.197,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160577_CL37Kfeatures.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.291,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160577_CL37Kmatrix.mtx.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,30.793,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160578_CL48Kbarcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,2.197,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160578_CL48Kfeatures.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.291,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160578_CL48Kmatrix.mtx.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,18.057,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160579_172barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,2.432,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160579_172features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.291,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160579_172matrix.mtx.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,42.414,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160580_441barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,2.432,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160580_441features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.291,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160580_441matrix.mtx.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,22.836,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160581_476barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,19.952,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160581_476features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.291,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation/source_gse140393/extracted/GSM4160581_476matrix.mtx.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,17.812,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/input/build_report.json,"excluded because file is raw data, cache, or bulky intermediate input",0.004,Use GEO accession and reconstruction scripts; processed summaries are included.
external_validation_round2/input/build_report.txt,"excluded because file is raw data, cache, or bulky intermediate input",0.001,Use GEO accession and reconstruction scripts; processed summaries are included.
external_validation_round2/input/external_validation_round2.h5ad,excluded because file is larger than 50 MB,863.382,"Use public accession, source database download, or processed summaries included in this release."
external_validation_round2/pyscenic_recalc/input/expression_for_pyscenic.csv,excluded because file is larger than 50 MB,4669.740,"Use public accession, source database download, or processed summaries included in this release."
external_validation_round2/pyscenic_recalc/input/expression_for_pyscenic_4tf_targets.csv,excluded because file is larger than 50 MB,91.223,"Use public accession, source database download, or processed summaries included in this release."
external_validation_round2/pyscenic_recalc/logs/01_grn.log,excluded because extension .log is not suitable for lightweight public GitHub release,0.000,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/pyscenic_recalc/logs/02_ctx.log,excluded because extension .log is not suitable for lightweight public GitHub release,0.000,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/pyscenic_recalc/logs/02_ctx_rerun.log,excluded because extension .log is not suitable for lightweight public GitHub release,0.000,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/pyscenic_recalc/logs/03_aucell.log,excluded because extension .log is not suitable for lightweight public GitHub release,0.000,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/pyscenic_recalc/logs/03_aucell_4tf.log,excluded because extension .log is not suitable for lightweight public GitHub release,0.000,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/pyscenic_recalc/logs/03_aucell_4tf_from_discovery.log,excluded because extension .log is not suitable for lightweight public GitHub release,0.001,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/GSE190452_RAW.tar,excluded because file is larger than 50 MB,665.527,"Use public accession, source database download, or processed summaries included in this release."
external_validation_round2/source_gse190452/GSE190452_family.soft.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.002,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724021_Normal1_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.072,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724021_Normal1_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.318,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724021_Normal1_matrix.mtx.gz,excluded because file is larger than 50 MB,135.646,"Use public accession, source database download, or processed summaries included in this release."
external_validation_round2/source_gse190452/extracted/GSM5724022_Normal2_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.056,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724022_Normal2_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.318,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724022_Normal2_matrix.mtx.gz,excluded because file is larger than 50 MB,91.853,"Use public accession, source database download, or processed summaries included in this release."
external_validation_round2/source_gse190452/extracted/GSM5724023_Normal_3_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.045,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724023_Normal_3_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.318,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724023_Normal_3_matrix.mtx.gz,excluded because file is larger than 50 MB,77.586,"Use public accession, source database download, or processed summaries included in this release."
external_validation_round2/source_gse190452/extracted/GSM5724024_TLE_1_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.031,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724024_TLE_1_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.318,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724024_TLE_1_matrix.mtx.gz,excluded because file is larger than 50 MB,100.973,"Use public accession, source database download, or processed summaries included in this release."
external_validation_round2/source_gse190452/extracted/GSM5724025_TLE_2_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.024,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724025_TLE_2_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.318,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724025_TLE_2_matrix.mtx.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,36.452,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724026_TLE_3_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.037,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724026_TLE_3_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.318,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM5724026_TLE_3_matrix.mtx.gz,excluded because file is larger than 50 MB,93.393,"Use public accession, source database download, or processed summaries included in this release."
external_validation_round2/source_gse190452/extracted/GSM6893724_Normal_4_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.041,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM6893724_Normal_4_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.318,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM6893724_Normal_4_matrix.mtx.gz,excluded because file is larger than 50 MB,53.671,"Use public accession, source database download, or processed summaries included in this release."
external_validation_round2/source_gse190452/extracted/GSM6893725_TLE_4_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.033,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM6893725_TLE_4_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.318,Use source accession or rerun scripts; see environment_notes.md and results/audit.
external_validation_round2/source_gse190452/extracted/GSM6893725_TLE_4_matrix.mtx.gz,excluded because file is larger than 50 MB,73.042,"Use public accession, source database download, or processed summaries included in this release."
final_exports/astrocyte_pilot_rna_with_pyscenic_auc.h5ad,excluded because file is larger than 50 MB,143.644,"Use public accession, source database download, or processed summaries included in this release."
final_exports/auc_mtx_matched_to_h5ad.csv,excluded because file is a large derived matrix or adjacency intermediate,3.894,Use included processed summaries and scripts; regenerate locally if needed.
final_exports/core_objects/astrocyte_pilot_rna_with_pyscenic_auc.h5ad,excluded because file is larger than 50 MB,143.644,"Use public accession, source database download, or processed summaries included in this release."
final_exports/key_tables/auc_mtx_matched_to_h5ad.csv,excluded because file is a large derived matrix or adjacency intermediate,3.894,Use included processed summaries and scripts; regenerate locally if needed.
input/discovery_counts_raw.mtx,excluded because file is larger than 50 MB,64.019,"Use public accession, source database download, or processed summaries included in this release."
input/expression_for_pyscenic.csv,excluded because file is larger than 50 MB,162.602,"Use public accession, source database download, or processed summaries included in this release."
input/gse268807_astrocyte_pilot/processed_h5ad/G120_D_FL_qc_max3000.h5ad,excluded because file is larger than 50 MB,103.085,"Use public accession, source database download, or processed summaries included in this release."
input/gse268807_astrocyte_pilot/processed_h5ad/G120_F1_N_qc_max3000.h5ad,excluded because extension .h5ad is not suitable for lightweight public GitHub release,40.788,Use source accession or rerun scripts; see environment_notes.md and results/audit.
input/gse268807_astrocyte_pilot/processed_h5ad/G133_D_FL_qc_max3000.h5ad,excluded because file is larger than 50 MB,107.949,"Use public accession, source database download, or processed summaries included in this release."
input/gse268807_astrocyte_pilot/processed_h5ad/G133_N_FL_qc_max3000.h5ad,excluded because file is larger than 50 MB,98.808,"Use public accession, source database download, or processed summaries included in this release."
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G120_D_FL_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.061,Use source accession or rerun scripts; see environment_notes.md and results/audit.
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G120_D_FL_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,2.663,Use source accession or rerun scripts; see environment_notes.md and results/audit.
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G120_D_FL_matrix.mtx.gz,excluded because file is larger than 50 MB,281.917,"Use public accession, source database download, or processed summaries included in this release."
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G120_F1_N_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.006,Use source accession or rerun scripts; see environment_notes.md and results/audit.
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G120_F1_N_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,1.755,Use source accession or rerun scripts; see environment_notes.md and results/audit.
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G120_F1_N_matrix.mtx.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,32.958,Use source accession or rerun scripts; see environment_notes.md and results/audit.
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G133_D_FL_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.060,Use source accession or rerun scripts; see environment_notes.md and results/audit.
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G133_D_FL_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,2.357,Use source accession or rerun scripts; see environment_notes.md and results/audit.
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G133_D_FL_matrix.mtx.gz,excluded because file is larger than 50 MB,257.665,"Use public accession, source database download, or processed summaries included in this release."
