regulon,mean_auc,std_auc,nonzero_fraction
THRB(+),0.526595,0.25378457,1.0
TCF4(+),0.5015751,0.1635964,1.0
PBX1(+),0.47695237,0.14158255,1.0
PDLIM5(+),0.32994798,0.19091411,0.9814814814814815
POU2F1(+),0.27493122,0.12919253,0.9879414298018949
KLF12(+),0.23454168,0.09355055,1.0
SOX2(+),0.21465868,0.13092604,0.9560723514211886
RORA(+),0.21207118,0.09955161,1.0
CEBPD(+),0.20960873,0.115851395,0.9806201550387597
E2F1(+),0.19826302,0.10837489,0.9491817398794143
HSF2(+),0.17777207,0.0730542,0.9771748492678726
NFIA(+),0.17075539,0.05335134,1.0
SATB2(+),0.16535132,0.07827495,1.0
NFE2L1(+),0.1578027,0.05415618,1.0
RARB(+),0.1546043,0.057600297,1.0
NR3C1(+),0.15453425,0.035671722,1.0
CUX1(+),0.14655404,0.09564465,0.8673557278208441
ZBTB20(+),0.14495204,0.03788923,1.0
HES1(+),0.13495235,0.08360801,0.8531438415159346
PURA(+),0.13453667,0.027063346,1.0
SMAD3(+),0.13293412,0.03710232,1.0
RB1(+),0.13154836,0.027963996,1.0
IRF8(+),0.13010457,0.086090334,0.9780361757105943
BACH1(+),0.13005677,0.027135542,1.0
BHLHE41(+),0.12745765,0.10994257,0.8863049095607235
