term,status,action
Recovery Index,replaced,standalone wording replaced by Approx. Recovery Index or Approx. RI
Recovery index,replaced,standalone wording replaced by Approx. Recovery Index or Approx. RI
Approx. Recovery Index,present,required
Approx. RI,present,required
in silico perturbation,present,required
simulated perturbation,present,required
randomized control,present,required
experimental perturbation,absent,required absent
validated perturbation,absent,required absent
validated perturbation,absent,required absent
experimental perturbation,absent,required absent; hyphenated boundary wording used in caption
therapeutic target,absent,required absent
treatment target,absent,required absent
drug target,absent,required absent
validated perturbation,absent,required absent
formal validation,absent,required absent
experimental validation,absent,required absent
internal_control,absent,replaced by internal-control in figure-facing labels
internal-control,present,required
