,internal_control,lesion
THRB(+),0.62034905,0.375195
TCF4(+),0.5453299,0.430917
PBX1(+),0.50257117,0.43558112
PDLIM5(+),0.30245498,0.37434524
POU2F1(+),0.27116394,0.28101456
KLF12(+),0.25129798,0.20748287
SOX2(+),0.17785586,0.2740903
CEBPD(+),0.18028244,0.25696716
RORA(+),0.2023588,0.22775602
E2F1(+),0.19497207,0.20357703
HSF2(+),0.19446541,0.15081494
NFIA(+),0.16633682,0.17789091
NFE2L1(+),0.15403098,0.16389315
SATB2(+),0.19232492,0.12179235
NR3C1(+),0.16047168,0.14494637
RARB(+),0.17223613,0.12613153
ZBTB20(+),0.14141414,0.15066494
CUX1(+),0.16405386,0.118293785
PURA(+),0.13922212,0.1269702
IRF8(+),0.121343486,0.14425257
HES1(+),0.14551415,0.11789618
RB1(+),0.13192922,0.13093318
BHLHE41(+),0.11467353,0.14810225
SMAD3(+),0.14294477,0.11676862
BACH1(+),0.13239811,0.12627548
FLI1(+),0.11154359,0.1468667
RUNX3(+),0.1236083,0.12827
NFE2L2(+),0.12083434,0.12973256
MAF(+),0.13167313,0.113594346
SREBF2(+),0.12679991,0.11820829
SOX9(+),0.111716546,0.13186227
E2F3(+),0.12132241,0.120416254
ZNF267(+),0.112948544,0.124183394
ZFX(+),0.113091886,0.117886886
BHLHE40(+),0.10093972,0.121155225
SOX10(+),0.1307824,0.09126254
CHD1(+),0.100550905,0.12111643
NR5A2(+),0.13480835,0.08232489
DBX2(+),0.08629199,0.13081063
STAT1(+),0.10664092,0.10992164
ELF2(+),0.1089289,0.106902845
ELF1(+),0.096667364,0.11263546
IKZF1(+),0.09529241,0.109147966
HIVEP1(+),0.0967189,0.10569596
SP3(+),0.101910494,0.097564876
HIF1A(+),0.093479216,0.1023358
IKZF2(+),0.08971368,0.10385607
EP300(+),0.099223055,0.08914517
NFKB1(+),0.08970889,0.0981772
NR2F2(+),0.11096711,0.07649822
NFATC3(+),0.09926288,0.08178726
KLF10(+),0.08311593,0.0966363
EGR2(+),0.08278506,0.09686105
KLF4(+),0.07801162,0.101247855
NR4A2(+),0.0804702,0.09721402
NR2C2(+),0.08543792,0.09219003
POU2F2(+),0.085081555,0.090844974
KLF6(+),0.08095795,0.09329382
MAX(+),0.0874285,0.08369446
THRA(+),0.08378882,0.085527375
BCLAF1(+),0.08164194,0.08744682
ETS2(+),0.088522494,0.07914878
E2F2(+),0.07846948,0.08064448
SMAD1(+),0.07857606,0.07927306
YY1(+),0.067343056,0.07151091
HOXD10(+),0.07053911,0.0666661
STAT4(+),0.062475756,0.071908765
ATF7(+),0.05469873,0.078120716
ZNF383(+),0.049037732,0.07729164
FOXK2(+),0.07034623,0.053360693
ELK4(+),0.061840307,0.057609044
SKI(+),0.06651262,0.04590635
STAT6(+),0.053825792,0.056323312
CEBPE(+),0.053837385,0.054852802
JUND(+),0.058446668,0.04778141
TCF7L1(+),0.04373418,0.05933128
PBX4(+),0.0583892,0.035027582
HLTF(+),0.0361504,0.05467139
SOX7(+),0.04287871,0.046681464
JUNB(+),0.02960937,0.05941254
ETS1(+),0.035920892,0.053087834
GABPB1(+),0.02858076,0.057675257
ZNF433(+),0.036919326,0.047759086
ZNF37A(+),0.04256127,0.041318893
ZNF384(+),0.04615407,0.037225194
ATF1(+),0.04434664,0.03805032
HMGA1(+),0.033240847,0.04867391
FOXC2(+),0.03748346,0.041757695
NFYB(+),0.039065607,0.038924117
USF2(+),0.032016847,0.045204118
ZNF250(+),0.03285098,0.040923916
ZNF75A(+),0.038279947,0.035044182
ETV6(+),0.03390193,0.03752639
TBP(+),0.03723141,0.03272863
NR2C1(+),0.038063437,0.026290225
IRF9(+),0.024499746,0.03765093
ETV2(+),0.027576728,0.03207162
TBX21(+),0.026084118,0.028881505
ARID5A(+),0.024476836,0.030237777
GTF2IRD1(+),0.026366547,0.020234106
WT1(+),0.021126563,0.0212764
FOXC1(+),0.019862322,0.022476124
GATA6(+),0.0196808,0.017536798
DBP(+),0.021012262,0.014634225
GCM1(+),0.0035336213,0.005865394
