,internal_control,lesion
THRB(+),1.0,-1.0
TCF4(+),1.0,-1.0
PBX1(+),1.0,-1.0
PDLIM5(+),-1.0,1.0
POU2F1(+),-1.0,1.0
KLF12(+),1.0,-1.0
SOX2(+),-1.0,1.0
CEBPD(+),-1.0,1.0
RORA(+),-1.0,1.0
E2F1(+),-1.0,1.0
HSF2(+),1.0,-1.0
NFIA(+),-1.0,1.0
NFE2L1(+),-1.0,1.0
SATB2(+),1.0,-1.0
NR3C1(+),1.0,-1.0
RARB(+),1.0,-1.0
ZBTB20(+),-1.0,1.0
CUX1(+),1.0,-1.0
PURA(+),1.0,-1.0
IRF8(+),-1.0,1.0
HES1(+),1.0,-1.0
RB1(+),1.0,-1.0
BHLHE41(+),-1.0,1.0
SMAD3(+),1.0,-1.0
BACH1(+),1.0,-1.0
FLI1(+),-1.0,1.0
RUNX3(+),-1.0,1.0
NFE2L2(+),-1.0,1.0
MAF(+),1.0,-1.0
SREBF2(+),1.0,-1.0
SOX9(+),-1.0,1.0
E2F3(+),1.0,-1.0
ZNF267(+),-1.0,1.0
ZFX(+),-1.0,1.0
BHLHE40(+),-1.0,1.0
SOX10(+),1.0,-1.0
CHD1(+),-1.0,1.0
NR5A2(+),1.0,-1.0
DBX2(+),-1.0,1.0
STAT1(+),-1.0,1.0
ELF2(+),1.0,-1.0
ELF1(+),-1.0,1.0
IKZF1(+),-1.0,1.0
HIVEP1(+),-1.0,1.0
SP3(+),1.0,-1.0
HIF1A(+),-1.0,1.0
IKZF2(+),-1.0,1.0
EP300(+),1.0,-1.0
NFKB1(+),-1.0,1.0
NR2F2(+),1.0,-1.0
NFATC3(+),1.0,-1.0
KLF10(+),-1.0,1.0
EGR2(+),-1.0,1.0
KLF4(+),-1.0,1.0
NR4A2(+),-1.0,1.0
NR2C2(+),-1.0,1.0
POU2F2(+),-1.0,1.0
KLF6(+),-1.0,1.0
MAX(+),1.0,-1.0
THRA(+),-1.0,1.0
BCLAF1(+),-1.0,1.0
ETS2(+),1.0,-1.0
E2F2(+),-1.0,1.0
SMAD1(+),-1.0,1.0
YY1(+),-1.0,1.0
HOXD10(+),1.0,-1.0
STAT4(+),-1.0,1.0
ATF7(+),-1.0,1.0
ZNF383(+),-1.0,1.0
FOXK2(+),1.0,-1.0
ELK4(+),1.0,-1.0
SKI(+),1.0,-1.0
STAT6(+),-1.0,1.0
CEBPE(+),-1.0,1.0
JUND(+),1.0,-1.0
TCF7L1(+),-1.0,1.0
PBX4(+),1.0,-1.0
HLTF(+),-1.0,1.0
SOX7(+),-1.0,1.0
JUNB(+),-1.0,1.0
ETS1(+),-1.0,1.0
GABPB1(+),-1.0,1.0
ZNF433(+),-1.0,1.0
ZNF37A(+),1.0,-1.0
ZNF384(+),1.0,-1.0
ATF1(+),1.0,-1.0
HMGA1(+),-1.0,1.0
FOXC2(+),-1.0,1.0
NFYB(+),1.0,-1.0
USF2(+),-1.0,1.0
ZNF250(+),-1.0,1.0
ZNF75A(+),1.0,-1.0
ETV6(+),-1.0,1.0
TBP(+),1.0,-1.0
NR2C1(+),1.0,-1.0
IRF9(+),-1.0,1.0
ETV2(+),-1.0,1.0
TBX21(+),-1.0,1.0
ARID5A(+),-1.0,1.0
GTF2IRD1(+),1.0,-1.0
WT1(+),-1.0,1.0
FOXC1(+),-1.0,1.0
GATA6(+),1.0,-1.0
DBP(+),1.0,-1.0
GCM1(+),-1.0,1.0
