regulon,test,group_1,group_2,n_lesion,n_internal_control,mean_lesion,mean_internal_control,median_lesion,median_internal_control,mean_diff_group2_minus_group1,abs_mean_diff,statistic,p_value,fdr_bh
THRB(+),mann_whitney_u,lesion,internal_control,888,1434,0.3751950042725012,0.62034907330716,0.30600081384181976,0.7140052616596222,0.24515406903465886,0.24515406903465886,277026.0,3.860376295530394e-116,4.053395110306913e-114
SATB2(+),mann_whitney_u,lesion,internal_control,888,1434,0.12179235631163728,0.19232492368133164,0.1075117364525795,0.20062245428562164,0.07053256736969436,0.07053256736969436,302221.0,1.0567786168620208e-100,5.548087738525609e-99
RARB(+),mann_whitney_u,lesion,internal_control,888,1434,0.12613152655949061,0.17223613654916672,0.12254481390118599,0.17869874089956284,0.04610460998967611,0.04610460998967611,333711.5,5.619653643887133e-83,1.9668787753604965e-81
JUND(+),mann_whitney_u,lesion,internal_control,888,1434,0.04778140984886737,0.05844666631281833,0.04708334989845753,0.05756349116563797,0.010665256463950959,0.010665256463950959,336410.5,1.5412302069475363e-81,4.045729293237283e-80
SOX2(+),mann_whitney_u,lesion,internal_control,888,1434,0.2740902996055419,0.17785585815234062,0.2760655879974365,0.15972676873207092,-0.09623444145320126,0.09623444145320126,908350.5,4.4710813819065815e-67,9.389270902003821e-66
SKI(+),mann_whitney_u,lesion,internal_control,888,1434,0.04590634880576971,0.06651262282398744,0.04486450366675854,0.06410170719027519,0.020606274018217734,0.020606274018217734,379724.0,3.28775294118706e-60,5.753567647077355e-59
SMAD3(+),mann_whitney_u,lesion,internal_control,888,1434,0.11676862401686408,0.14294477642320272,0.11443276330828667,0.14459313452243805,0.026176152406338637,0.026176152406338637,380047.5,4.6124290439842915e-60,6.918643565976437e-59
TCF4(+),mann_whitney_u,lesion,internal_control,888,1434,0.4309170042282088,0.5453299205007247,0.46923352777957916,0.5523655712604523,0.11441291627251593,0.11441291627251593,402189.5,1.9171199428127388e-50,2.5162199249417195e-49
NR2F2(+),mann_whitney_u,lesion,internal_control,888,1434,0.07649821956914132,0.11096710470553606,0.06329690292477608,0.1002211831510067,0.034468885136394734,0.034468885136394734,402397.0,2.3366097031844283e-50,2.7260446537151662e-49
CEBPD(+),mann_whitney_u,lesion,internal_control,888,1434,0.25696715702688705,0.1802824526210904,0.25384998321533203,0.1650024801492691,-0.07668470440579664,0.07668470440579664,869504.5,9.647419988884369e-50,1.0129790988328588e-48
FOXK2(+),mann_whitney_u,lesion,internal_control,888,1434,0.05336069589986994,0.07034622845639354,0.05108731985092163,0.06854578107595444,0.016985532556523603,0.016985532556523603,409473.0,1.8141425381148426e-47,1.7316815136550769e-46
HSF2(+),mann_whitney_u,lesion,internal_control,888,1434,0.15081493854512218,0.19446540320606454,0.1496427059173584,0.20859604328870773,0.043650464660942356,0.043650464660942356,411421.0,1.0922318623806723e-46,9.557028795830882e-46
BCLAF1(+),mann_whitney_u,lesion,internal_control,888,1434,0.08744682065790167,0.08164194498257907,0.0886046513915062,0.0813169814646244,-0.005804875675322604,0.005804875675322604,855148.5,5.234076818603574e-44,4.227523584256733e-43
SOX10(+),mann_whitney_u,lesion,internal_control,888,1434,0.09126253975237715,0.1307823954005901,0.06527018919587135,0.11988463997840881,0.03951985564821296,0.03951985564821296,428161.5,2.7860945247483097e-40,2.0895708935612324e-39
EP300(+),mann_whitney_u,lesion,internal_control,888,1434,0.08914517490025442,0.09922305643922198,0.09061115607619286,0.09807097166776657,0.010077881538967562,0.010077881538967562,432369.5,1.0195522201555115e-38,7.136865541088581e-38
ELF1(+),mann_whitney_u,lesion,internal_control,888,1434,0.1126354666519071,0.09666736115606676,0.11111733317375183,0.09453269094228745,-0.015968105495840337,0.015968105495840337,834270.5,2.5897211768319103e-36,1.699504522295941e-35
NR5A2(+),mann_whitney_u,lesion,internal_control,888,1434,0.082324896622693,0.13480834304987901,0.026024590246379375,0.18483606725931168,0.05248344642718601,0.05248344642718601,445836.5,1.5136289749189362e-35,9.348884845087547e-35
BHLHE40(+),mann_whitney_u,lesion,internal_control,888,1434,0.12115522164029179,0.10093972497363803,0.12033108249306679,0.09499789774417877,-0.02021549666665376,0.02021549666665376,831607.0,2.1874907216400125e-35,1.2760362542900073e-34
PURA(+),mann_whitney_u,lesion,internal_control,888,1434,0.12697019240491697,0.13922211981405772,0.12458695471286774,0.14188431948423386,0.012251927409140745,0.012251927409140745,459226.5,1.2629521668250755e-29,6.979472500875417e-29
CUX1(+),mann_whitney_u,lesion,internal_control,888,1434,0.11829379150944291,0.16405386311382658,0.11783762648701668,0.1535128802061081,0.04576007160438367,0.04576007160438367,460027.5,1.9425552391152946e-29,1.0198415005355297e-28
PBX4(+),mann_whitney_u,lesion,internal_control,888,1434,0.03502758219980712,0.058389201837851526,0.017334547825157642,0.04323011450469494,0.02336161963804441,0.02336161963804441,465629.0,3.637633757472991e-28,1.8188168787364953e-27
MAF(+),mann_whitney_u,lesion,internal_control,888,1434,0.11359434788794937,0.13167311963488867,0.10266252234578133,0.13074995577335358,0.01807877174693931,0.01807877174693931,467166.0,3.530299438065181e-27,1.6849156408947453e-26
KLF12(+),mann_whitney_u,lesion,internal_control,888,1434,0.20748287220307216,0.2512979728749056,0.21225865185260773,0.2462204024195671,0.04381510067183342,0.04381510067183342,472942.5,1.8134908291586896e-25,8.27897987224619e-25
KLF10(+),mann_whitney_u,lesion,internal_control,888,1434,0.09663629913618704,0.08311592942594734,0.091305922716856,0.08127988129854202,-0.013520369710239705,0.013520369710239705,800007.5,2.4378837436956687e-25,1.0665741378668552e-24
NR3C1(+),mann_whitney_u,lesion,internal_control,888,1434,0.14494637268603788,0.16047168179639879,0.14514775574207306,0.1618998646736145,0.015525309110360902,0.015525309110360902,476594.5,2.041662820370257e-24,8.574983845555081e-24
IKZF2(+),mann_whitney_u,lesion,internal_control,888,1434,0.10385607277317946,0.08971367326904103,0.10843446105718613,0.08828330412507057,-0.014142399504138425,0.014142399504138425,787757.5,6.495428523785455e-22,2.623153826913357e-21
ATF7(+),mann_whitney_u,lesion,internal_control,888,1434,0.07812070952180268,0.054698729538810324,0.0669095329940319,0.042106861248612404,-0.023421979982992357,0.023421979982992357,786021.0,1.8152379147021053e-21,7.059258557174854e-21
NFE2L2(+),mann_whitney_u,lesion,internal_control,888,1434,0.12973257345944508,0.12083434466547963,0.1338190659880638,0.11946065351366997,-0.008898228793965457,0.008898228793965457,780805.5,4.367644726134391e-20,1.6378667723003967e-19
HMGA1(+),mann_whitney_u,lesion,internal_control,888,1434,0.04867390953150535,0.033240848714898984,0.041188525035977364,0.027827869169414043,-0.015433060816606364,0.015433060816606364,780384.0,4.662581558216919e-20,1.6881760814233672e-19
ETS1(+),mann_whitney_u,lesion,internal_control,888,1434,0.05308783616865267,0.03592089142315002,0.040603045374155045,0.030971896834671497,-0.01716694474550265,0.01716694474550265,773618.5,2.6159409340879967e-18,8.877950849112386e-18
NFATC3(+),mann_whitney_u,lesion,internal_control,888,1434,0.08178725597073182,0.099262876195409,0.07725410163402557,0.09632854908704758,0.017475620224677177,0.017475620224677177,499704.5,2.6211092983093707e-18,8.877950849112386e-18
IKZF1(+),mann_whitney_u,lesion,internal_control,888,1434,0.10914796769937819,0.0952924155218415,0.10039031878113747,0.09049256145954132,-0.013855552177536687,0.013855552177536687,772618.5,4.8372477672551746e-18,1.587221923630604e-17
PDLIM5(+),mann_whitney_u,lesion,internal_control,888,1434,0.37434524635462874,0.30245496315934056,0.40837058424949646,0.2789120674133301,-0.07189028319528817,0.07189028319528817,763989.5,5.16407282743553e-16,1.6431140814567593e-15
DBX2(+),mann_whitney_u,lesion,internal_control,888,1434,0.13081062618676606,0.08629199024127482,0.1148451715707779,0.06215847097337246,-0.04451863594549124,0.04451863594549124,760705.0,9.153199969332905e-16,2.826723519941044e-15
ZFX(+),mann_whitney_u,lesion,internal_control,888,1434,0.11788689076631993,0.11309189318238941,0.12328388169407845,0.11339158192276955,-0.004794997583930524,0.004794997583930524,762051.0,1.4157390722285774e-15,4.247217216685732e-15
GABPB1(+),mann_whitney_u,lesion,internal_control,888,1434,0.0576752572171474,0.028580759233951626,0.0,0.0,-0.029094497983195772,0.029094497983195772,740093.5,3.3695900761035943e-15,9.82797105530215e-15
JUNB(+),mann_whitney_u,lesion,internal_control,888,1434,0.05941253759662793,0.029609369656744555,0.0,0.0,-0.029803167939883374,0.029803167939883374,731240.5,3.2810458079476115e-14,9.311075941472951e-14
NR2C2(+),mann_whitney_u,lesion,internal_control,888,1434,0.0921900316853672,0.08543792294761791,0.09276054799556732,0.0843534991145134,-0.006752108737749285,0.006752108737749285,755191.0,4.448751459147102e-14,1.229260271606436e-13
TCF7L1(+),mann_whitney_u,lesion,internal_control,888,1434,0.05933128169429413,0.04373418299493531,0.05154291167855263,0.031870780512690544,-0.015597098699358818,0.015597098699358818,751381.5,1.8709104474891486e-13,5.037066589393862e-13
IRF9(+),mann_whitney_u,lesion,internal_control,888,1434,0.03765093340802081,0.024499747430252752,0.020094387233257294,0.0,-0.013151185977768057,0.013151185977768057,744915.0,3.4102540046030474e-13,8.951916762082999e-13
KLF4(+),mann_whitney_u,lesion,internal_control,888,1434,0.10124786055884387,0.0780116175429235,0.08514946699142456,0.06869173794984818,-0.023236243015920366,0.023236243015920366,749644.0,6.294751383014972e-13,1.6120704761379805e-12
HES1(+),mann_whitney_u,lesion,internal_control,888,1434,0.1178961746858198,0.1455141434066369,0.11851093173027039,0.12571721524000168,0.027617968720817107,0.027617968720817107,524890.5,9.863923982864899e-13,2.465980995716225e-12
ZNF383(+),mann_whitney_u,lesion,internal_control,888,1434,0.07729163568023363,0.04903773315241192,0.04715847037732601,0.012732240371406078,-0.028253902527821707,0.028253902527821707,738464.0,1.3059819253315224e-11,3.189025631623485e-11
PBX1(+),mann_whitney_u,lesion,internal_control,888,1434,0.43558110967949704,0.5025711539233911,0.4832712262868881,0.5083830058574677,0.0669900442438941,0.0669900442438941,532494.0,3.205589423336579e-11,7.64970203296229e-11
ATF1(+),mann_whitney_u,lesion,internal_control,888,1434,0.03805032037240659,0.04434664066615232,0.03617886081337929,0.041756629943847656,0.00629632029374573,0.00629632029374573,537960.0,3.2020497274786076e-10,7.47144936411675e-10
ZBTB20(+),mann_whitney_u,lesion,internal_control,888,1434,0.15066494619440254,0.14141413984583845,0.15356625616550446,0.13792190700769424,-0.009250806348564095,0.009250806348564095,734978.0,3.856041023526729e-10,8.80183277109362e-10
KLF6(+),mann_whitney_u,lesion,internal_control,888,1434,0.09329382233900597,0.08095795279654519,0.08479588478803635,0.07670477777719498,-0.012335869542460784,0.012335869542460784,733586.5,6.780831135037139e-10,1.5148665301678716e-09
BHLHE41(+),mann_whitney_u,lesion,internal_control,888,1434,0.1481022518028522,0.1146735347696959,0.1351775974035263,0.0970856100320816,-0.033428717033156294,0.033428717033156294,730852.0,1.956651089816175e-09,4.280174258972883e-09
BACH1(+),mann_whitney_u,lesion,internal_control,888,1434,0.12627547476356765,0.1323981163360833,0.12415861710906029,0.1332184299826622,0.006122641572515658,0.006122641572515658,544788.5,4.806350205899896e-09,1.0299321869785491e-08
CHD1(+),mann_whitney_u,lesion,internal_control,888,1434,0.12111643243068036,0.10055091195545618,0.10943273454904556,0.09480874240398407,-0.020565520475224183,0.020565520475224183,725881.5,1.3432939964541192e-08,2.8209173925536504e-08
GCM1(+),mann_whitney_u,lesion,internal_control,888,1434,0.005865394100305616,0.003533621404346467,0.0,0.0,-0.0023317726959591486,0.0023317726959591486,682286.0,2.1226055906971826e-08,4.3700703337883166e-08
ETS2(+),mann_whitney_u,lesion,internal_control,888,1434,0.07914876956010221,0.08852249436694842,0.06558515131473541,0.07547814026474953,0.009373724806846215,0.009373724806846215,551249.5,5.255596952261154e-08,1.0612263076681177e-07
E2F2(+),mann_whitney_u,lesion,internal_control,888,1434,0.08064448297692899,0.0784694768686167,0.06641088426113129,0.07824090123176575,-0.002175006108312283,0.002175006108312283,551983.5,6.834136383537991e-08,1.3539326797575267e-07
