regulon,test,group_1,group_2,n_lesion,n_internal_control,mean_lesion,mean_internal_control,median_lesion,median_internal_control,mean_diff_group2_minus_group1,abs_mean_diff,statistic,p_value,fdr_bh,direction,effect_direction,mean_diff_group1_minus_group2,neg_log10_fdr,neg_log10_p
THRB(+),mann_whitney_u,lesion,internal_control,888,1434,0.3751950042725012,0.62034907330716,0.3060008138418197,0.7140052616596222,0.2451540690346588,0.2451540690346588,277026.0,3.8603762955303944e-116,4.053395110306913e-114,up_in_internal_control,internal_control,-0.2451540690346588,113.39218106073831,115.41337035980824
SATB2(+),mann_whitney_u,lesion,internal_control,888,1434,0.1217923563116372,0.1923249236813316,0.1075117364525795,0.2006224542856216,0.0705325673696943,0.0705325673696943,302221.0,1.0567786168620208e-100,5.548087738525609e-99,up_in_internal_control,internal_control,-0.0705325673696943,98.25585667952805,99.97601598293402
RARB(+),mann_whitney_u,lesion,internal_control,888,1434,0.1261315265594906,0.1722361365491667,0.1225448139011859,0.1786987408995628,0.0461046099896761,0.0461046099896761,333711.5,5.619653643887133e-83,1.9668787753604963e-81,up_in_internal_control,internal_control,-0.0461046099896761,80.70622240612762,82.2502904504779
JUND(+),mann_whitney_u,lesion,internal_control,888,1434,0.0477814098488673,0.0584466663128183,0.0470833498984575,0.0575634911656379,0.0106652564639509,0.0106652564639509,336410.5,1.5412302069475363e-81,4.045729293237283e-80,up_in_internal_control,internal_control,-0.0106652564639509,79.39300317998995,80.81213248773192
SKI(+),mann_whitney_u,lesion,internal_control,888,1434,0.0459063488057697,0.0665126228239874,0.0448645036667585,0.0641017071902751,0.0206062740182177,0.0206062740182177,379724.0,3.28775294118706e-60,5.753567647077355e-59,up_in_internal_control,internal_control,-0.0206062740182177,58.24006277636007,59.483100825046364
SMAD3(+),mann_whitney_u,lesion,internal_control,888,1434,0.116768624016864,0.1429447764232027,0.1144327633082866,0.144593134522438,0.0261761524063386,0.0261761524063386,380047.5,4.6124290439842915e-60,6.918643565976437e-59,up_in_internal_control,internal_control,-0.0261761524063386,58.15997904276216,59.33607030181784
TCF4(+),mann_whitney_u,lesion,internal_control,888,1434,0.4309170042282088,0.5453299205007247,0.4692335277795791,0.5523655712604523,0.1144129162725159,0.1144129162725159,402189.5,1.9171199428127388e-50,2.5162199249417195e-49,up_in_internal_control,internal_control,-0.1144129162725159,48.599251402966644,49.71735071504464
NR2F2(+),mann_whitney_u,lesion,internal_control,888,1434,0.0764982195691413,0.110967104705536,0.063296902924776,0.1002211831510067,0.0344688851363947,0.0344688851363947,402397.0,2.3366097031844283e-50,2.7260446537151666e-49,up_in_internal_control,internal_control,-0.0344688851363947,48.564467034523624,49.63141382415424
FOXK2(+),mann_whitney_u,lesion,internal_control,888,1434,0.0533606958998699,0.0703462284563935,0.0510873198509216,0.0685457810759544,0.0169855325565236,0.0169855325565236,409473.0,1.8141425381148423e-47,1.7316815136550767e-46,up_in_internal_control,internal_control,-0.0169855325565236,45.761531979282196,46.741328593193906
HSF2(+),mann_whitney_u,lesion,internal_control,888,1434,0.1508149385451221,0.1944654032060645,0.1496427059173584,0.2085960432887077,0.0436504646609423,0.0436504646609423,411421.0,1.0922318623806723e-46,9.557028795830882e-46,up_in_internal_control,internal_control,-0.0436504646609423,45.01967710543713,45.961685158459446
