regulon,test,group_1,group_2,n_lesion,n_internal_control,mean_lesion,mean_internal_control,median_lesion,median_internal_control,mean_diff_group2_minus_group1,abs_mean_diff,statistic,p_value,fdr_bh,direction,effect_direction,mean_diff_group1_minus_group2,neg_log10_fdr,neg_log10_p
SOX2(+),mann_whitney_u,lesion,internal_control,888,1434,0.2740902996055419,0.1778558581523406,0.2760655879974365,0.1597267687320709,-0.0962344414532012,0.0962344414532012,908350.5,4.4710813819065815e-67,9.389270902003821e-66,up_in_lesion,lesion,0.0962344414532012,65.02736813036756,66.34958742510149
CEBPD(+),mann_whitney_u,lesion,internal_control,888,1434,0.256967157026887,0.1802824526210904,0.253849983215332,0.1650024801492691,-0.0766847044057966,0.0766847044057966,869504.5,9.647419988884369e-50,1.0129790988328588e-48,up_in_lesion,lesion,0.0766847044057966,47.99439951550369,49.015588814573626
BCLAF1(+),mann_whitney_u,lesion,internal_control,888,1434,0.0874468206579016,0.081641944982579,0.0886046513915062,0.0813169814646244,-0.0058048756753226,0.0058048756753226,855148.5,5.234076818603574e-44,4.227523584256733e-43,up_in_lesion,lesion,0.0058048756753226,42.37391396090728,43.28115990767038
ELF1(+),mann_whitney_u,lesion,internal_control,888,1434,0.1126354666519071,0.0966673611560667,0.1111173331737518,0.0945326909422874,-0.0159681054958403,0.0159681054958403,834270.5,2.5897211768319103e-36,1.6995045222959407e-35,up_in_lesion,lesion,0.0159681054958403,34.76967767544364,35.58674699185765
BHLHE40(+),mann_whitney_u,lesion,internal_control,888,1434,0.1211552216402917,0.100939724973638,0.1203310824930667,0.0949978977441787,-0.0202154966666537,0.0202154966666537,831607.0,2.1874907216400125e-35,1.2760362542900071e-34,up_in_lesion,lesion,0.0202154966666537,33.8941369864186,34.66005378038523
KLF10(+),mann_whitney_u,lesion,internal_control,888,1434,0.096636299136187,0.0831159294259473,0.091305922716856,0.081279881298542,-0.0135203697102397,0.0135203697102397,800007.5,2.4378837436956687e-25,1.0665741378668552e-24,up_in_lesion,lesion,0.0135203697102397,23.972008951234322,24.612987008592654
IKZF2(+),mann_whitney_u,lesion,internal_control,888,1434,0.1038560727731794,0.089713673269041,0.1084344610571861,0.0882833041250705,-0.0141423995041384,0.0141423995041384,787757.5,6.495428523785455e-22,2.623153826913357e-21,up_in_lesion,lesion,0.0141423995041384,20.58117624077801,21.18739219187713
ATF7(+),mann_whitney_u,lesion,internal_control,888,1434,0.0781207095218026,0.0546987295388103,0.0669095329940319,0.0421068612486124,-0.0234219799829923,0.0234219799829923,786021.0,1.8152379147021053e-21,7.059258557174854e-21,up_in_lesion,lesion,0.0234219799829923,20.151240911049793,20.741066445960744
NFE2L2(+),mann_whitney_u,lesion,internal_control,888,1434,0.129732573459445,0.1208343446654796,0.1338190659880638,0.1194606535136699,-0.0088982287939654,0.0088982287939654,780805.5,4.367644726134391e-20,1.637866772300397e-19,up_in_lesion,lesion,0.0088982287939654,18.785721427610973,19.359752695338692
HMGA1(+),mann_whitney_u,lesion,internal_control,888,1434,0.0486739095315053,0.0332408487148989,0.0411885250359773,0.027827869169414,-0.0154330608166063,0.0154330608166063,780384.0,4.662581558216919e-20,1.6881760814233672e-19,up_in_lesion,lesion,0.0154330608166063,18.772582257235058,19.33137355840604
