regulon,group_1,group_2,effect_direction,mean_diff_group1_minus_group2,mean_diff_group2_minus_group1,abs_mean_diff,p_value,fdr_bh,neg_log10_fdr
THRB(+),lesion,internal_control,internal_control,-0.2451540690346588,0.2451540690346588,0.2451540690346588,3.8603762955303944e-116,4.053395110306913e-114,113.39218106073831
SATB2(+),lesion,internal_control,internal_control,-0.0705325673696943,0.0705325673696943,0.0705325673696943,1.0567786168620208e-100,5.548087738525609e-99,98.25585667952805
RARB(+),lesion,internal_control,internal_control,-0.0461046099896761,0.0461046099896761,0.0461046099896761,5.619653643887133e-83,1.9668787753604963e-81,80.70622240612762
JUND(+),lesion,internal_control,internal_control,-0.0106652564639509,0.0106652564639509,0.0106652564639509,1.5412302069475363e-81,4.045729293237283e-80,79.39300317998995
SOX2(+),lesion,internal_control,lesion,0.0962344414532012,-0.0962344414532012,0.0962344414532012,4.4710813819065815e-67,9.389270902003821e-66,65.02736813036756
SKI(+),lesion,internal_control,internal_control,-0.0206062740182177,0.0206062740182177,0.0206062740182177,3.28775294118706e-60,5.753567647077355e-59,58.24006277636007
SMAD3(+),lesion,internal_control,internal_control,-0.0261761524063386,0.0261761524063386,0.0261761524063386,4.6124290439842915e-60,6.918643565976437e-59,58.15997904276216
TCF4(+),lesion,internal_control,internal_control,-0.1144129162725159,0.1144129162725159,0.1144129162725159,1.9171199428127388e-50,2.5162199249417195e-49,48.599251402966644
NR2F2(+),lesion,internal_control,internal_control,-0.0344688851363947,0.0344688851363947,0.0344688851363947,2.3366097031844283e-50,2.7260446537151666e-49,48.564467034523624
CEBPD(+),lesion,internal_control,lesion,0.0766847044057966,-0.0766847044057966,0.0766847044057966,9.647419988884369e-50,1.0129790988328588e-48,47.99439951550369
FOXK2(+),lesion,internal_control,internal_control,-0.0169855325565236,0.0169855325565236,0.0169855325565236,1.8141425381148423e-47,1.7316815136550767e-46,45.761531979282196
HSF2(+),lesion,internal_control,internal_control,-0.0436504646609423,0.0436504646609423,0.0436504646609423,1.0922318623806723e-46,9.557028795830882e-46,45.01967710543713
BCLAF1(+),lesion,internal_control,lesion,0.0058048756753226,-0.0058048756753226,0.0058048756753226,5.234076818603574e-44,4.227523584256733e-43,42.37391396090728
SOX10(+),lesion,internal_control,internal_control,-0.0395198556482129,0.0395198556482129,0.0395198556482129,2.7860945247483093e-40,2.0895708935612324e-39,38.6799428898182
EP300(+),lesion,internal_control,internal_control,-0.0100778815389675,0.0100778815389675,0.0100778815389675,1.0195522201555115e-38,7.136865541088581e-38,37.14649248529622
ELF1(+),lesion,internal_control,lesion,0.0159681054958403,-0.0159681054958403,0.0159681054958403,2.5897211768319103e-36,1.6995045222959407e-35,34.76967767544364
NR5A2(+),lesion,internal_control,internal_control,-0.052483446427186,0.052483446427186,0.052483446427186,1.5136289749189362e-35,9.348884845087548e-35,34.02924018960965
BHLHE40(+),lesion,internal_control,lesion,0.0202154966666537,-0.0202154966666537,0.0202154966666537,2.1874907216400125e-35,1.2760362542900071e-34,33.8941369864186
PURA(+),lesion,internal_control,internal_control,-0.0122519274091407,0.0122519274091407,0.0122519274091407,1.2629521668250758e-29,6.979472500875416e-29,28.156177399528122
CUX1(+),lesion,internal_control,internal_control,-0.0457600716043836,0.0457600716043836,0.0457600716043836,1.9425552391152946e-29,1.0198415005355295e-28,27.991467319210223
