config_id,weight_profile,penalty_profile,objective_score,primary_count,supportive_count,retained_count,primary_nfe2l2_count,primary_thrb_count,supportive_nfe2l2_count,supportive_thrb_count,primary_support_mean_capped,primary_axis_confidence_mean,primary_translational_mean,primary_final_score_mean,primary_penalty_mean,weak_fdr_primary_count,tool_like_primary_count,low_context_primary_count,primary_target_count,primary_min_support,thrb_supportive_min_translational,penalty_conservativeness_score,enrichment_support_score,cross_signature_score,axis_relevance_score,mechanism_interpretability_score,translational_suitability_score,axis_assignment_confidence_score,weak_fdr_penalty,single_signature_penalty,tool_compound_penalty,low_cns_epilepsy_relevance_penalty,selected_best
translational_high__conservative_high__primary4__support2__thrbtrans0.75,translational_high,conservative_high,7.785009041027925,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8116909602939839,0.0,0,0,0,4,2,0.75,0.6000000000000001,0.2,0.18,0.16,0.08,0.26,0.12,0.12,0.1,0.2,0.18,True
translational_high__conservative_high__primary5__support2__thrbtrans0.75,translational_high,conservative_high,7.785009041027925,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8116909602939839,0.0,0,0,0,5,2,0.75,0.6000000000000001,0.2,0.18,0.16,0.08,0.26,0.12,0.12,0.1,0.2,0.18,False
translational_high__conservative_high__primary6__support2__thrbtrans0.75,translational_high,conservative_high,7.785009041027925,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8116909602939839,0.0,0,0,0,6,2,0.75,0.6000000000000001,0.2,0.18,0.16,0.08,0.26,0.12,0.12,0.1,0.2,0.18,False
translational_high__lenient_low__primary4__support2__thrbtrans0.75,translational_high,lenient_low,7.785009041027925,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8116909602939839,0.0,0,0,0,4,2,0.75,0.26,0.2,0.18,0.16,0.08,0.26,0.12,0.05,0.05,0.08,0.08,False
translational_high__lenient_low__primary5__support2__thrbtrans0.75,translational_high,lenient_low,7.785009041027925,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8116909602939839,0.0,0,0,0,5,2,0.75,0.26,0.2,0.18,0.16,0.08,0.26,0.12,0.05,0.05,0.08,0.08,False
translational_high__lenient_low__primary6__support2__thrbtrans0.75,translational_high,lenient_low,7.785009041027925,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8116909602939839,0.0,0,0,0,6,2,0.75,0.26,0.2,0.18,0.16,0.08,0.26,0.12,0.05,0.05,0.08,0.08,False
axis_conf_high__conservative_high__primary4__support2__thrbtrans0.75,axis_conf_high,conservative_high,7.774255558941116,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8009374782071743,0.0,0,0,0,4,2,0.75,0.6000000000000001,0.22,0.17,0.15,0.1,0.2,0.16,0.12,0.1,0.2,0.18,False
axis_conf_high__conservative_high__primary5__support2__thrbtrans0.75,axis_conf_high,conservative_high,7.774255558941116,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8009374782071743,0.0,0,0,0,5,2,0.75,0.6000000000000001,0.22,0.17,0.15,0.1,0.2,0.16,0.12,0.1,0.2,0.18,False
axis_conf_high__conservative_high__primary6__support2__thrbtrans0.75,axis_conf_high,conservative_high,7.774255558941116,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8009374782071743,0.0,0,0,0,6,2,0.75,0.6000000000000001,0.22,0.17,0.15,0.1,0.2,0.16,0.12,0.1,0.2,0.18,False
axis_conf_high__lenient_low__primary4__support2__thrbtrans0.75,axis_conf_high,lenient_low,7.774255558941116,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8009374782071743,0.0,0,0,0,4,2,0.75,0.26,0.22,0.17,0.15,0.1,0.2,0.16,0.05,0.05,0.08,0.08,False
axis_conf_high__lenient_low__primary5__support2__thrbtrans0.75,axis_conf_high,lenient_low,7.774255558941116,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8009374782071743,0.0,0,0,0,5,2,0.75,0.26,0.22,0.17,0.15,0.1,0.2,0.16,0.05,0.05,0.08,0.08,False
axis_conf_high__lenient_low__primary6__support2__thrbtrans0.75,axis_conf_high,lenient_low,7.774255558941116,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.8009374782071743,0.0,0,0,0,6,2,0.75,0.26,0.22,0.17,0.15,0.1,0.2,0.16,0.05,0.05,0.08,0.08,False
cross_axis_mechanism_min__conservative_high__primary4__support2__thrbtrans0.75,cross_axis_mechanism_min,conservative_high,7.773030871472043,4,8,109,4,0,3,5,0.75,0.9027650672782839,0.85,0.7997127907381019,0.0,0,0,0,4,2,0.75,0.6000000000000001,0.24,0.2,0.18,0.05,0.21,0.12,0.12,0.1,0.2,0.18,False
