swissadme_row_id,swissadme_molecule,swissadme_canonical_smiles,compound,associated_axis,prebbb_layer_v21,prebbb_evidence_tier_v21,canonical_smiles,matching_method,matched_from_column,matching_confidence,GI absorption,BBB permeant,Pgp substrate,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,manual_final_bbb_layer,BBB_score,bbb_review_note
1,CCCC(CCC)C(=O)O,CCCC(C(=O)O)CCC,VALPROIC ACID,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,CCCC(CCC)C(=O)O,smiles_exact,Molecule,1.0,High,Yes,No,0.85,0,0,1,1.28,CNS-directed clues,1.0,BBB=Yes、GI=High、Pgp=No，且 Brenk/PAINS 未见明显异常。 Bioavailability Score=0.85。
2,CN1[C@@H](CCC[C@@H]1CC(=O)C2=CC=CC=C2)C[C@@H](C3=CC=CC=C3)O,O[C@H](c1ccccc1)C[C@@H]1CCC[C@@H](N1C)CC(=O)c1ccccc1,lobeline,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,CN1[C@@H](CCC[C@@H]1CC(=O)C2=CC=CC=C2)C[C@@H](C3=CC=CC=C3)O,smiles_exact,Molecule,1.0,High,Yes,No,0.55,0,0,1,3.23,CNS-directed clues,1.0,BBB=Yes、GI=High、Pgp=No，且 Brenk/PAINS 未见明显异常。 Bioavailability Score=0.55。
3,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,(-)-Epigallocatechin gallate,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,smiles_exact,Molecule,1.0,Low,No,No,0.17,1,1,1,4.2,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.17。
4,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,quercetin,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,smiles_exact,Molecule,1.0,High,No,No,0.55,1,1,0,3.23,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。
5,CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O,CC(OC(=O)C(C)C)OC(=O)NCC1(CCCCC1)CC(=O)O,Gabapentin enacarbil,THRB,supportive_manual_review_clues,manual_review_weak_fdr,CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O,smiles_exact,Molecule,1.0,High,No,Yes,0.56,0,2,1,3.53,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.56。
6,COC1=C(C=C(C=C1)[C@@H]2CC(=O)NC2)OC3CCCC3,COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1,S-(+)-Rolipram,THRB,supportive_manual_review_clues,manual_review_weak_fdr,COC1=C(C=C(C=C1)[C@@H]2CC(=O)NC2)OC3CCCC3,smiles_exact,Molecule,1.0,High,Yes,Yes,0.55,0,0,0,2.7,possible CNS-directed clues,0.75,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Pgp substrate=Yes。 Bioavailability Score=0.55。
7,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,FC(Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl)F,Roflumilast,THRB,supportive_manual_review_clues,manual_review_weak_fdr,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,smiles_exact,Molecule,1.0,High,No,No,0.55,0,0,3,2.55,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。
8,CCCOC1=CC=CC=C1C2=NC3=NNN=C3C(=O)N2,CCCOc1ccccc1c1nc2n[nH]nc2c(=O)[nH]1,zaprinast,THRB,supportive_manual_review_clues,manual_review_weak_fdr,CCCOC1=CC=CC=C1C2=NC3=NNN=C3C(=O)N2,smiles_exact,Molecule,1.0,High,No,No,0.55,0,0,0,2.66,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。
9,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,COc1ccc(cc1OC)Cc1nccc2c1cc(OC)c(c2)OC,papaverine,THRB,supportive_manual_review_clues,manual_review_weak_fdr,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,smiles_exact,Molecule,1.0,High,Yes,Yes,0.55,0,0,0,2.62,possible CNS-directed clues,0.75,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Pgp substrate=Yes。 Bioavailability Score=0.55。
10,C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,ONC(=O)/C=C/C(=C/[C@H](C(=O)c1ccc(cc1)N(C)C)C)/C,trichostatin A,NFE2L2,supportive_manual_review_clues,supportive_prebbb,C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,smiles_exact,Molecule,1.0,High,Yes,No,0.55,0,4,0,3.44,possible CNS-directed clues,0.75,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Brenk alerts=4。 Bioavailability Score=0.55。
