compound,normalized_compound_name,associated_axis,axis_assignment_score,axis_assignment_margin,axis_counts,supporting_query_sets,support_count,support_count_main_axes,main_supporting_gene_set,main_supporting_gene_set_score,best_adjusted_p,best_combined_score,best_rank,best_term,best_library,indicative_mechanism,indicative_drug_class,mechanism_interpretability_score,translational_caution_category,translational_suitability_score,include_in_main_axis_pool,note,enrichment_support_score,cross_signature_score,axis_relevance_score,axis_assignment_confidence_score,final_score_prebbb,main_table_exclusion_reason,main_table_eligible,weak_fdr_retained_reason,final_priority_tier,BBB_layer,BBB_note,translational_interpretation,tool_compound_like,broad_epigenetic_modulator_like,weak_fdr_manual_review,low_cns_epilepsy_relevance,axis_preference,notes,was_v2_top_priority_clue,weighted_pre_penalty_score_v21,v21_component_enrichment_support_score,v21_component_cross_signature_score,v21_component_axis_relevance_score,v21_component_mechanism_interpretability_score,v21_component_translational_suitability_score,v21_component_axis_assignment_confidence_score,weak_fdr_penalty_value,single_signature_penalty_value,tool_compound_penalty_value,low_cns_epilepsy_relevance_penalty_value,total_penalty_v21,final_score_v21,v21_penalty_reasons,lead_layer_v21,v21_evidence_tier,v21_layer_reason,prebbb_layer_v21,prebbb_evidence_tier_v21,final_score_prebbb_v21,canonical_smiles,swissadme_bbb_prediction,swissadme_gi_absorption,swissadme_pgp_substrate,swissadme_bioavailability_score,swissadme_pains_alerts,swissadme_brenk_alerts,swissadme_leadlikeness_violations,swissadme_synthetic_accessibility,manual_final_bbb_layer,BBB_score,manual_review_note,reviewed_by,reviewed_date,after_bbb_review_status,final_score_after_bbb,after_bbb_final_layer,after_bbb_interpretation_note,after_bbb_rank
VALPROIC ACID,VALPROIC ACID,NFE2L2,0.8946882701719567,0.6097889110329164,NFE2L2:2;THRB:1;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program;NFE2L2_regulon_targets;THRB_core_program,4,3,NFE2L2_regulon_targets,0.6031417390724305,6.386993114410929e-42,420.8450474556488,1,VALPROIC ACID CTD 00006977,DSigDB,epigenetic/hdac,epigenetic/hdac,1.0,cns_or_neuroactive_known_drug,0.95,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.8015824342408494,1.0,1.0,1.0,0.9334747302722548,,True,,high_priority_prebbb,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,False,NFE2L2,已知 CNS/抗癫痫相关药物背景；不按 pan-HDAC 工具化合物处理。,True,0.9473164868481698,0.1603164868481699,0.18,0.16,0.08,0.247,0.12,0.0,0.0,0.0,0.0,0.0,0.9473164868481698,none,primary_mechanism_direction_clues,primary_prebbb,NFE2L2 strict-FDR、多集合/清晰轴线支持，且未被工具化合物或低转化语境标签排除。,primary_mechanism_direction_clues,primary_prebbb,0.9473164868481698,CCCC(CCC)C(=O)O,Yes,High,No,0.85,0,0,1,1.28,CNS-directed clues,1.0,BBB=Yes、GI=High、Pgp=No，且 Brenk/PAINS 未见明显异常。 Bioavailability Score=0.85。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.9536385084263894,headline_cns_mechanism_direction_clues,pre-BBB primary 且 SwissADME 支持 CNS-directed；适合 after-BBB headline 展示，但仍为 exploratory clue。,1
lobeline,lobeline,NFE2L2,0.6444511498605574,0.4952988585697161,NFE2L2:2;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program;NFE2L2_regulon_targets,3,2,NFE2L2_core_program,0.3220106679050101,2.3049767766116253e-16,188.88506668897176,6,lobeline HL60 DOWN,DSigDB,未自动识别；需人工核实,unknown,0.3,cns_or_neuroactive_known_drug,0.95,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.3091768368633452,1.0,1.0,0.9952988585697162,0.6873769597445809,,True,,medium_priority_prebbb,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,False,NFE2L2,auto_v21_default,True,0.792271230401035,0.061835367372669,0.18,0.16,0.024,0.247,0.1194358630283659,0.0,0.0,0.0,0.0,0.0,0.792271230401035,none,primary_mechanism_direction_clues,primary_prebbb,NFE2L2 strict-FDR、多集合/清晰轴线支持，且未被工具化合物或低转化语境标签排除。,primary_mechanism_direction_clues,primary_prebbb,0.792271230401035,CN1[C@@H](CCC[C@@H]1CC(=O)C2=CC=CC=C2)C[C@@H](C3=CC=CC=C3)O,Yes,High,No,0.55,0,0,1,3.23,CNS-directed clues,1.0,BBB=Yes、GI=High、Pgp=No，且 Brenk/PAINS 未见明显异常。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.8171986827529107,headline_cns_mechanism_direction_clues,pre-BBB primary 且 SwissADME 支持 CNS-directed；适合 after-BBB headline 展示，但仍为 exploratory clue。,2
Deferoxamine hydrochloride,Deferoxamine hydrochloride,BHLHE40,0.2001652261666581,0.2001652261666581,BHLHE40:1,BHLHE40_supplement_program,1,0,BHLHE40_supplement_program,0.1820811719660615,0.0012120759143285,204.36342872357184,26,Deferoxamine hydrochloride BOSS,DSigDB,未自动识别；补充轴线索,unknown,0.25,requires_manual_translational_review,0.45,False,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1286896621582343,0.5,0.35,0.7001652261666582,0.3356201167408029,,False,,low_priority_retained,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,BHLHE40 仅作为补充轴线索，不进入主文主药物推荐。,False,False,False,True,supplementary,CNS/epilepsy 转化语境不足或需人工核查。,False,0.3927577595716458,0.0257379324316468,0.09,0.0559999999999999,0.02,0.117,0.0840198271399989,0.0,0.1,0.0,0.18,0.28,0.1127577595716458,single_signature;low_cns_epilepsy_relevance,low_priority_not_retained_v21,not_retained,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。,low_priority_not_retained_v21,not_retained,0.1127577595716458,,,,,,,,,,not_reviewed_bbb_pending,,,,,not_reviewed_bbb_pending,0.1127577595716458,low_priority_not_retained_v21,未进行 v2.1 SwissADME/BBB 复核；保留在 retained/supplementary。,3
"[6-[6-(butanoylamino)purin-9-yl]-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-yl] butanoate","[6-[6-(butanoylamino)purin-9-yl]-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-yl] butanoate",BHLHE40,0.1655368225936362,0.1655368225936362,BHLHE40:1,BHLHE40_supplement_program,1,0,BHLHE40_supplement_program,0.1856871189845547,0.0005697921424689,84.30150513535405,18,"[6-[6-(butanoylamino)purin-9-yl]-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-yl] butanoate CTD 00005796",DSigDB,未自动识别；补充轴线索,unknown,0.25,requires_manual_translational_review,0.45,False,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0742999603626154,0.5,0.35,0.6655368225936362,0.3165329339162755,,False,,low_priority_retained,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,BHLHE40 仅作为补充轴线索，不进入主文主药物推荐。,False,False,False,True,supplementary,CNS/epilepsy 转化语境不足或需人工核查。,False,0.3777244107837594,0.014859992072523,0.09,0.0559999999999999,0.02,0.117,0.0798644187112363,0.0,0.1,0.0,0.18,0.28,0.0977244107837593,single_signature;low_cns_epilepsy_relevance,low_priority_not_retained_v21,not_retained,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。,low_priority_not_retained_v21,not_retained,0.0977244107837593,,,,,,,,,,not_reviewed_bbb_pending,,,,,not_reviewed_bbb_pending,0.0977244107837593,low_priority_not_retained_v21,未进行 v2.1 SwissADME/BBB 复核；保留在 retained/supplementary。,4
testosterone enanthate,testosterone enanthate,BHLHE40,0.1550549483462728,0.1550549483462728,BHLHE40:1,BHLHE40_supplement_program,1,0,BHLHE40_supplement_program,0.1847507673648558,0.0006931693169329,52.155397013129566,20,testosterone enanthate CTD 00000155,DSigDB,未自动识别；补充轴线索,unknown,0.25,requires_manual_translational_review,0.45,False,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0571804726547181,0.5,0.35,0.6550549483462729,0.3105585376641173,,False,,low_priority_retained,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,BHLHE40 仅作为补充轴线索，不进入主文主药物推荐。,False,False,False,True,supplementary,CNS/epilepsy 转化语境不足或需人工核查。,False,0.3730426883324963,0.0114360945309436,0.09,0.0559999999999999,0.02,0.117,0.0786065938015527,0.0,0.1,0.0,0.18,0.28,0.0930426883324962,single_signature;low_cns_epilepsy_relevance,low_priority_not_retained_v21,not_retained,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。,low_priority_not_retained_v21,not_retained,0.0930426883324962,,,,,,,,,,not_reviewed_bbb_pending,,,,,not_reviewed_bbb_pending,0.0930426883324962,low_priority_not_retained_v21,未进行 v2.1 SwissADME/BBB 复核；保留在 retained/supplementary。,5
IRON,IRON,BHLHE40,0.1545820031281856,0.1545820031281856,BHLHE40:1,BHLHE40_supplement_program,1,0,BHLHE40_supplement_program,0.1780696539011117,0.0028068117228149,64.44241292176201,42,IRON BOSS,DSigDB,未自动识别；补充轴线索,unknown,0.25,requires_manual_translational_review,0.45,False,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0542605642397416,0.5,0.35,0.6545820031281856,0.3096447295221773,,False,,low_priority_retained,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,BHLHE40 仅作为补充轴线索，不进入主文主药物推荐。,False,False,False,True,supplementary,CNS/epilepsy 转化语境不足或需人工核查。,False,0.3724019532233306,0.0108521128479483,0.09,0.0559999999999999,0.02,0.117,0.0785498403753822,0.0,0.1,0.0,0.18,0.28,0.0924019532233305,single_signature;low_cns_epilepsy_relevance,low_priority_not_retained_v21,not_retained,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。,low_priority_not_retained_v21,not_retained,0.0924019532233305,,,,,,,,,,not_reviewed_bbb_pending,,,,,not_reviewed_bbb_pending,0.0924019532233305,low_priority_not_retained_v21,未进行 v2.1 SwissADME/BBB 复核；保留在 retained/supplementary。,6
ipratropium bromide,ipratropium bromide,BHLHE40,0.1527961091069024,0.1527961091069024,BHLHE40:1,BHLHE40_supplement_program,1,0,BHLHE40_supplement_program,0.1772576731183006,0.0033268231624005,60.315454966420376,46,ipratropium bromide HL60 DOWN,DSigDB,未自动识别；补充轴线索,unknown,0.25,requires_manual_translational_review,0.45,False,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0511327120007959,0.5,0.35,0.6527961091069024,0.308563502328791,,False,,low_priority_retained,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,BHLHE40 仅作为补充轴线索，不进入主文主药物推荐。,False,False,False,True,supplementary,CNS/epilepsy 转化语境不足或需人工核查。,False,0.3715620754929875,0.0102265424001591,0.09,0.0559999999999999,0.02,0.117,0.0783355330928282,0.0,0.1,0.0,0.18,0.28,0.0915620754929874,single_signature;low_cns_epilepsy_relevance,low_priority_not_retained_v21,not_retained,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。,low_priority_not_retained_v21,not_retained,0.0915620754929874,,,,,,,,,,not_reviewed_bbb_pending,,,,,not_reviewed_bbb_pending,0.0915620754929874,low_priority_not_retained_v21,未进行 v2.1 SwissADME/BBB 复核；保留在 retained/supplementary。,7
"8-Bromo-cAMP, Na","8-Bromo-cAMP, Na",BHLHE40,0.1498468344795473,0.1498468344795473,BHLHE40:1,BHLHE40_supplement_program,1,0,BHLHE40_supplement_program,0.1816500552294983,0.0013265458089807,41.63644386710597,28,"8-Bromo-cAMP, Na CTD 00007044",DSigDB,未自动识别；补充轴线索,unknown,0.25,requires_manual_translational_review,0.45,False,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0478218429054822,0.5,0.35,0.6498468344795474,0.3073342996300084,,False,,low_priority_retained,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,BHLHE40 仅作为补充轴线索，不进入主文主药物推荐。,False,False,False,True,supplementary,CNS/epilepsy 转化语境不足或需人工核查。,False,0.3705459887186421,0.0095643685810964,0.09,0.0559999999999999,0.02,0.117,0.0779816201375456,0.0,0.1,0.0,0.18,0.28,0.090545988718642,single_signature;low_cns_epilepsy_relevance,low_priority_not_retained_v21,not_retained,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。,low_priority_not_retained_v21,not_retained,0.090545988718642,,,,,,,,,,not_reviewed_bbb_pending,,,,,not_reviewed_bbb_pending,0.090545988718642,low_priority_not_retained_v21,未进行 v2.1 SwissADME/BBB 复核；保留在 retained/supplementary。,8
Medroxyprogesterone acetate,Medroxyprogesterone acetate,BHLHE40,0.1451189951243761,0.1451189951243761,BHLHE40:1,BHLHE40_supplement_program,1,0,BHLHE40_supplement_program,0.1755014109648427,0.004804961500833,38.9861147434516,49,Medroxyprogesterone acetate CTD 00006623,DSigDB,未自动识别；补充轴线索,unknown,0.25,requires_manual_translational_review,0.45,False,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.038247828178655,0.5,0.35,0.6451189951243761,0.3040838680635466,,False,,low_priority_retained,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,BHLHE40 仅作为补充轴线索，不进入主文主药物推荐。,False,False,False,True,supplementary,CNS/epilepsy 转化语境不足或需人工核查。,False,0.3680638450506561,0.007649565635731,0.09,0.0559999999999999,0.02,0.117,0.0774142794149251,0.0,0.1,0.0,0.18,0.28,0.088063845050656,single_signature;low_cns_epilepsy_relevance,low_priority_not_retained_v21,not_retained,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。,low_priority_not_retained_v21,not_retained,0.088063845050656,,,,,,,,,,not_reviewed_bbb_pending,,,,,not_reviewed_bbb_pending,0.088063845050656,low_priority_not_retained_v21,未进行 v2.1 SwissADME/BBB 复核；保留在 retained/supplementary。,9
Tetradioxin,Tetradioxin,BHLHE40,0.1794023923361209,0.1794023923361209,BHLHE40:1,BHLHE40_supplement_program,1,0,BHLHE40_supplement_program,0.2188676737671256,5.486588448701636e-07,60.72904175178926,5,Tetradioxin CTD 00006848,DSigDB,未自动识别；补充轴线索,unknown,0.25,identifier_or_tool_compound_manual_review,0.25,False,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1072781086119235,0.5,0.35,0.679402392336121,0.2995356239704667,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,BHLHE40 仅作为补充轴线索，不进入主文主药物推荐。,True,False,False,True,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.3339839088027192,0.0214556217223847,0.09,0.0559999999999999,0.02,0.065,0.0815282870803345,0.0,0.1,0.2,0.18,0.48,0.0,single_signature;tool_or_broad_epigenetic;low_cns_epilepsy_relevance,low_priority_not_retained_v21,not_retained,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。,low_priority_not_retained_v21,not_retained,0.0,,,,,,,,,,not_reviewed_bbb_pending,,,,,not_reviewed_bbb_pending,0.0,low_priority_not_retained_v21,未进行 v2.1 SwissADME/BBB 复核；保留在 retained/supplementary。,10
