compound,normalized_compound_name,associated_axis,axis_assignment_score,axis_assignment_margin,axis_counts,supporting_query_sets,support_count,support_count_main_axes,main_supporting_gene_set,main_supporting_gene_set_score,best_adjusted_p,best_combined_score,best_rank,best_term,best_library,indicative_mechanism,indicative_drug_class,mechanism_interpretability_score,translational_caution_category,translational_suitability_score,include_in_main_axis_pool,note,enrichment_support_score,cross_signature_score,axis_relevance_score,axis_assignment_confidence_score,final_score_prebbb,main_table_exclusion_reason,main_table_eligible,weak_fdr_retained_reason,final_priority_tier,BBB_layer,BBB_note,translational_interpretation,tool_compound_like,broad_epigenetic_modulator_like,weak_fdr_manual_review,low_cns_epilepsy_relevance,axis_preference,notes,was_v2_top_priority_clue,weighted_pre_penalty_score_v21,v21_component_enrichment_support_score,v21_component_cross_signature_score,v21_component_axis_relevance_score,v21_component_mechanism_interpretability_score,v21_component_translational_suitability_score,v21_component_axis_assignment_confidence_score,weak_fdr_penalty_value,single_signature_penalty_value,tool_compound_penalty_value,low_cns_epilepsy_relevance_penalty_value,total_penalty_v21,final_score_v21,v21_penalty_reasons,lead_layer_v21,v21_evidence_tier,v21_layer_reason,prebbb_layer_v21,prebbb_evidence_tier_v21,final_score_prebbb_v21,canonical_smiles,swissadme_bbb_prediction,swissadme_gi_absorption,swissadme_pgp_substrate,swissadme_bioavailability_score,swissadme_pains_alerts,swissadme_brenk_alerts,swissadme_leadlikeness_violations,swissadme_synthetic_accessibility,manual_final_bbb_layer,BBB_score,manual_review_note,reviewed_by,reviewed_date,after_bbb_review_status,final_score_after_bbb,after_bbb_final_layer,after_bbb_interpretation_note,after_bbb_rank
(-)-Epigallocatechin gallate,(-)-Epigallocatechin gallate,NFE2L2,0.6308076315334321,0.4766691708989584,NFE2L2:2;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program;NFE2L2_regulon_targets,3,2,NFE2L2_regulon_targets,0.3290083050987076,5.327429586692158e-17,130.04092862558915,7,(-)-Epigallocatechin gallate CTD 00002033,DSigDB,redox/stress-adaptation,redox/stress-adaptation,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.2895513676097324,1.0,1.0,0.9766691708989584,0.7499989439548364,,True,,high_priority_prebbb,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,False,NFE2L2,auto_v21_default,True,0.7901105740298215,0.0579102735219464,0.18,0.16,0.08,0.195,0.117200300507875,0.0,0.0,0.0,0.0,0.0,0.7901105740298215,none,primary_mechanism_direction_clues,primary_prebbb,NFE2L2 strict-FDR、多集合/清晰轴线支持，且未被工具化合物或低转化语境标签排除。,primary_mechanism_direction_clues,primary_prebbb,0.7901105740298215,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,No,Low,No,0.17,1,1,1,4.2,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.17。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.743297305146243,peripheral_program_modulating_clues,pre-BBB 程序证据较强，但 BBB=No；after-BBB 降为 peripheral/program-modulating mechanism clue。,24
quercetin,quercetin,NFE2L2,0.3287718205533281,0.1390922396444607,NFE2L2:1;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program,2,1,NFE2L2_core_program,0.1119852195201732,7.351214134185998e-08,74.27742463572997,4,quercetin CTD 00006679,DSigDB,redox/stress-adaptation,redox/stress-adaptation,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1268724056978705,1.0,1.0,0.6390922396444607,0.674189100880918,,True,,medium_priority_prebbb,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,False,NFE2L2,auto_v21_default,True,0.7170655498969094,0.0253744811395741,0.18,0.16,0.08,0.195,0.0766910687573352,0.0,0.0,0.0,0.0,0.0,0.7170655498969094,none,primary_mechanism_direction_clues,primary_prebbb,NFE2L2 strict-FDR、多集合/清晰轴线支持，且未被工具化合物或低转化语境标签排除。,primary_mechanism_direction_clues,primary_prebbb,0.7170655498969094,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,No,High,No,0.55,1,1,0,3.23,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.6790176839092803,peripheral_program_modulating_clues,pre-BBB 程序证据较强，但 BBB=No；after-BBB 降为 peripheral/program-modulating mechanism clue。,25
Gabapentin enacarbil,Gabapentin enacarbil,THRB,0.5805327727430847,0.5805327727430847,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,318.3547328251434,12,Gabapentin enacarbil,DSigDB,calcium/synaptic,calcium/synaptic,1.0,cns_or_neuroactive_known_drug,0.95,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.153899985259403,1.0,1.0,1.0,0.7391699955778209,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,True,0.8177799970518805,0.0307799970518806,0.18,0.16,0.08,0.247,0.12,0.12,0.0,0.0,0.0,0.12,0.6977799970518805,weak_fdr,supportive_manual_review_clues,manual_review_weak_fdr,THRB weak-FDR 候选；保留为 supportive/manual-review，不与 NFE2L2 强证据候选混为同一层级。,supportive_manual_review_clues,manual_review_weak_fdr,0.6977799970518805,CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O,No,High,Yes,0.56,0,2,1,3.53,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.56。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.662046397405655,peripheral_program_modulating_clues,BBB=No 或整体更适合外周/程序调节解释；不删除，只降低 CNS headline 级别。,26
Roflumilast,Roflumilast,THRB,0.6864215097399661,0.6864215097399661,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,662.6705253310397,5,Roflumilast CTD 00003916,DSigDB,phosphodiesterase/cAMP,phosphodiesterase/cAMP,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.3237826947644516,1.0,1.0,1.0,0.7621348084293355,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,True,0.7997565389528903,0.0647565389528903,0.18,0.16,0.08,0.195,0.12,0.12,0.0,0.0,0.0,0.12,0.6797565389528903,weak_fdr,supportive_manual_review_clues,manual_review_weak_fdr,THRB weak-FDR 候选；保留为 supportive/manual-review，不与 NFE2L2 强证据候选混为同一层级。,supportive_manual_review_clues,manual_review_weak_fdr,0.6797565389528903,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,No,High,No,0.55,0,0,3,2.55,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.6461857542785435,peripheral_program_modulating_clues,BBB=No 或整体更适合外周/程序调节解释；不删除，只降低 CNS headline 级别。,27
zaprinast,zaprinast,THRB,0.6864215097399661,0.6864215097399661,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,662.6705253310397,4,zaprinast TTD 00011899,DSigDB,phosphodiesterase/cAMP,phosphodiesterase/cAMP,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.3237826947644516,1.0,1.0,1.0,0.7621348084293355,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,True,0.7997565389528903,0.0647565389528903,0.18,0.16,0.08,0.195,0.12,0.12,0.0,0.0,0.0,0.12,0.6797565389528903,weak_fdr,supportive_manual_review_clues,manual_review_weak_fdr,THRB weak-FDR 候选；保留为 supportive/manual-review，不与 NFE2L2 强证据候选混为同一层级。,supportive_manual_review_clues,manual_review_weak_fdr,0.6797565389528903,CCCOC1=CC=CC=C1C2=NC3=NNN=C3C(=O)N2,No,High,No,0.55,0,0,0,2.66,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.6461857542785435,peripheral_program_modulating_clues,BBB=No 或整体更适合外周/程序调节解释；不删除，只降低 CNS headline 级别。,28
MS-275,MS-275,NFE2L2,0.3483707186389,0.2013094546706476,NFE2L2:1;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_regulon_targets,2,1,NFE2L2_regulon_targets,0.2257294656641774,1.3046773458148909e-07,75.69237835595213,41,MS-275 PC3 UP,DSigDB,epigenetic/hdac,epigenetic/hdac,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1238860348521572,1.0,1.0,0.7013094546706475,0.6782705668292989,,True,,medium_priority_prebbb,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,True,False,False,NFE2L2,HDAC/表观遗传调节倾向，作为机制线索保守后移。,True,0.7239343415309092,0.0247772069704314,0.18,0.16,0.08,0.195,0.0841571345604777,0.0,0.0,0.2,0.0,0.2,0.5239343415309092,tool_or_broad_epigenetic,supportive_manual_review_clues,supportive_prebbb,NFE2L2 候选具一定支持，但因工具/机制/语境标签或排序未进入 primary。,supportive_manual_review_clues,supportive_prebbb,0.5239343415309092,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,No,High,Yes,0.55,0,1,2,2.67,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.5090622205472002,peripheral_program_modulating_clues,BBB=No 或整体更适合外周/程序调节解释；不删除，只降低 CNS headline 级别。,29
scriptaid,scriptaid,NFE2L2,0.3419024094450904,0.1980015886410389,NFE2L2:1;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_regulon_targets,2,1,NFE2L2_regulon_targets,0.223028661542134,2.296311331422276e-07,60.24817034098197,45,scriptaid PC3 UP,DSigDB,epigenetic/hdac,epigenetic/hdac,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1126349675231535,1.0,1.0,0.6980015886410389,0.6746306173482293,,True,,medium_priority_prebbb,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,True,False,False,NFE2L2,HDAC/表观遗传调节倾向，作为机制线索保守后移。,True,0.7212871841415553,0.0225269935046307,0.18,0.16,0.08,0.195,0.0837601906369246,0.0,0.0,0.2,0.0,0.2,0.5212871841415554,tool_or_broad_epigenetic,supportive_manual_review_clues,supportive_prebbb,NFE2L2 候选具一定支持，但因工具/机制/语境标签或排序未进入 primary。,supportive_manual_review_clues,supportive_prebbb,0.5212871841415554,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,No,High,No,0.55,0,2,0,2.31,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.5067327220445688,peripheral_program_modulating_clues,BBB=No 或整体更适合外周/程序调节解释；不删除，只降低 CNS headline 级别。,30
S-(+)-Rolipram,S-(+)-Rolipram,THRB,0.7086705865838903,0.7086705865838903,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,735.0172993440868,3,S-(+)-Rolipram TTD 00010743,DSigDB,phosphodiesterase/cAMP,phosphodiesterase/cAMP,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.3594780252162938,1.0,1.0,1.0,0.7728434075648881,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,True,0.8068956050432587,0.0718956050432587,0.18,0.16,0.08,0.195,0.12,0.12,0.0,0.0,0.0,0.12,0.6868956050432588,weak_fdr,supportive_manual_review_clues,manual_review_weak_fdr,THRB weak-FDR 候选；保留为 supportive/manual-review，不与 NFE2L2 强证据候选混为同一层级。,supportive_manual_review_clues,manual_review_weak_fdr,0.6868956050432588,COC1=C(C=C(C=C1)[C@@H]2CC(=O)NC2)OC3CCCC3,Yes,High,Yes,0.55,0,0,0,2.7,possible CNS-directed clues,0.75,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Pgp substrate=Yes。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.6944681324380677,supportive_after_bbb_clues,SwissADME 支持 BBB permeant 但存在 Pgp/Brenk/PAINS 等限制；保留为 possible/supportive。,128
papaverine,papaverine,THRB,0.6678293697275418,0.6678293697275418,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,602.2149225510485,7,papaverine TTD 00010035,DSigDB,phosphodiesterase/cAMP,phosphodiesterase/cAMP,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.2939543748657935,1.0,1.0,1.0,0.753186312459738,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,True,0.7937908749731587,0.0587908749731587,0.18,0.16,0.08,0.195,0.12,0.12,0.0,0.0,0.0,0.12,0.6737908749731587,weak_fdr,supportive_manual_review_clues,manual_review_weak_fdr,THRB weak-FDR 候选；保留为 supportive/manual-review，不与 NFE2L2 强证据候选混为同一层级。,supportive_manual_review_clues,manual_review_weak_fdr,0.6737908749731587,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,Yes,High,Yes,0.55,0,0,0,2.62,possible CNS-directed clues,0.75,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Pgp substrate=Yes。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.6829359699763796,supportive_after_bbb_clues,SwissADME 支持 BBB permeant 但存在 Pgp/Brenk/PAINS 等限制；保留为 possible/supportive。,129
trichostatin A,trichostatin A,NFE2L2,0.7627814757346018,0.2753398893377261,NFE2L2:2;THRB:2;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program;NFE2L2_regulon_targets;THRB_core_program;THRB_regulon_targets,5,4,NFE2L2_regulon_targets,0.4758874030182371,2.3652249570962733e-30,255.24775114433743,4,trichostatin A CTD 00000660,DSigDB,metabolic/homeostatic; epigenetic/hdac,metabolic/homeostatic,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.5487946952214672,1.0,1.0,0.7753398893377261,0.8116655997134582,,True,,high_priority_prebbb,pending_manual_swissadme,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,True,False,False,NFE2L2,HDAC/表观遗传调节倾向，作为机制线索保守后移。,True,0.8177997257648206,0.1097589390442934,0.18,0.16,0.08,0.195,0.0930407867205271,0.0,0.0,0.2,0.0,0.2,0.6177997257648207,tool_or_broad_epigenetic,supportive_manual_review_clues,supportive_prebbb,NFE2L2 候选具一定支持，但因工具/机制/语境标签或排序未进入 primary。,supportive_manual_review_clues,supportive_prebbb,0.6177997257648207,C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,Yes,High,No,0.55,0,4,0,3.44,possible CNS-directed clues,0.75,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Brenk alerts=4。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22,reviewed_in_v21_swissadme,0.6336637586730421,supportive_after_bbb_clues,SwissADME 支持 BBB permeant 但存在 Pgp/Brenk/PAINS 等限制；保留为 possible/supportive。,130
