gene,mean_lesion,mean_internal_control,positive_fraction_lesion,positive_fraction_internal_control,log2fc_lesion_vs_internal_control,abs_log2fc,direction,positive_fraction_higher_group
MIR1302-2HG,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
FAM138A,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
OR4F5,0.0,0.000697350069735007,0.0,0.000697350069735007,-19.41152561410756,19.41152561410756,internal_control,0.000697350069735007
AL627309.1,0.00563063063063063,0.007670850767085077,0.00563063063063063,0.007670850767085077,-0.44609001325047914,0.44609001325047914,internal_control,0.007670850767085077
AL627309.3,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
AL627309.2,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
AL627309.5,0.010135135135135134,0.021617852161785203,0.009009009009009009,0.019525801952580187,-1.0928577909831385,1.0928577909831385,internal_control,0.019525801952580187
AL627309.4,0.0011261261261261261,0.001394700139470014,0.0011261261261261261,0.001394700139470014,-0.3085863109475471,0.3085863109475471,internal_control,0.001394700139470014
AP006222.2,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
AL732372.1,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
OR4F29,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
AC114498.1,0.0011261261261261261,0.0,0.0011261261261261261,0.0,20.102938268748783,20.102938268748783,lesion,0.0011261261261261261
OR4F16,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
AL669831.2,0.0011261261261261261,0.001394700139470014,0.0011261261261261261,0.001394700139470014,-0.3085863109475471,0.3085863109475471,internal_control,0.001394700139470014
LINC01409,0.07770270270270277,0.08856345885634598,0.06869369369369376,0.07949790794979088,-0.18874678536529854,0.18874678536529854,internal_control,0.07949790794979088
FAM87B,0.0,0.001394700139470014,0.0,0.001394700139470014,-20.41152457969633,20.41152457969633,internal_control,0.001394700139470014
LINC01128,0.07995495495495503,0.08437935843793593,0.07094594594594601,0.07601115760111583,-0.0777026744719906,0.0777026744719906,internal_control,0.07601115760111583
LINC00115,0.0011261261261261261,0.003486750348675035,0.0011261261261261261,0.003486750348675035,-1.6305137851878146,1.6305137851878146,internal_control,0.003486750348675035
FAM41C,0.0045045045045045045,0.001394700139470014,0.0045045045045045045,0.001394700139470014,1.691412728218089,1.691412728218089,lesion,0.0045045045045045045
AL645608.6,0.0011261261261261261,0.001394700139470014,0.0011261261261261261,0.001394700139470014,-0.3085863109475471,0.3085863109475471,internal_control,0.001394700139470014
AL645608.2,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
