tf,candidate_tier,gene_set_type,query_label,source,term,query_size,term_size,overlap_count,overlap_ratio,fold_enrichment,p_value,overlap_genes,fdr_bh
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,go,Regulation Of Platelet Aggregation (GO:0090330),221,25,6,0.027149321266968326,39.74769230769231,7.285179970836489e-09,IL6ST;LYN;MFSD2B;PRKCQ;PRKG1;SERPINE2,8.975017529126474e-06
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,go,Regulation Of Transcription By RNA Polymerase II (GO:0006357),221,1983,35,0.1583710407239819,2.9231157143411304,1.1974673154271479e-08,ACTR3;AKIRIN2;CHD4;CRTC3;DBX2;DEK;DICER1;ETV3;FGFR2;FOXO1;HIF1A;HNRNPU;ID3;ID4;IKZF1;JAZF1;KLF13;LHX2;LPIN2;MED12L;MEIS1;MITF;NAMPT;NPAS3;NR2C2;NRIP1;PURG;REL;S100A10;SDCBP;TET1;TSHZ3;ZHX1;ZNF438;ZNF707,8.975017529126474e-06
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,go,Positive Regulation Of DNA-templated Transcription (GO:0045893),221,1224,26,0.11764705882352941,3.5179738562091503,3.1321653853701286e-08,ACTR3;AKIRIN2;CHD4;CRTC3;DEK;FGFR2;FOXO1;HIF1A;HNRNPU;KAT6A;LHX2;LPIN2;MBTD1;MED12L;MEIS1;MITF;NAMPT;NFRKB;NPAS3;NR2C2;NRIP1;REL;S100A10;SCAF8;TET1;ZNF516,1.5650386375566074e-05
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,kegg,Vascular smooth muscle contraction,221,131,8,0.03619909502262444,10.113916617733413,1.4239445912220462e-06,ADORA2B;BRAF;GNA13;ITPR2;PPP1CC;PRKCQ;PRKG1;RAMP1,0.00026871531660774945
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,kegg,Signaling pathways regulating pluripotency of stem cells,221,142,8,0.03619909502262444,9.33044420368364,2.6088865690072764e-06,APC;FGFR2;ID3;ID4;IL6ST;KAT6A;MEIS1;SMAD1,0.00026871531660774945
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,kegg,Regulation of actin cytoskeleton,221,217,9,0.04072398190045249,6.868840836582772,7.612193677060166e-06,ACTR3;APC;BRAF;FGFR2;GNA13;ITGB1;LPAR1;PDGFC;PPP1CC,0.0005227039658247981
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,kegg,Platelet activation,221,123,7,0.03167420814479638,9.425265791119449,1.044093297004717e-05,GNA13;ITGB1;ITPR2;LYN;PPP1CC;PRKG1;RAP1B,0.0005377080479574293
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,kegg,Long-term depression,221,59,5,0.02262443438914027,14.035202086049543,2.9450279940160555e-05,BRAF;GNA13;ITPR2;LYN;PRKG1,0.0012133515335346148
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,go,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),221,922,19,0.08597285067873303,3.4128983814450193,3.843085286797971e-06,ACTR3;AKIRIN2;CRTC3;DEK;FGFR2;FOXO1;HIF1A;HNRNPU;LPIN2;MED12L;MEIS1;MITF;NAMPT;NR2C2;NRIP1;PWWP2A;REL;S100A10;TET1,0.0014401962112275397
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,go,Positive Regulation Of Signal Transduction (GO:0009967),221,263,10,0.04524886877828054,6.297162913132494,5.1107010506533905e-06,BMP2K;CD63;DLG5;FGFR2;GKAP1;HIF1A;IL6ST;LAMC1;TPD52L1;WLS,0.0015321881749858865
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,go,Regulation Of DNA-templated Transcription (GO:0006355),221,1886,28,0.12669683257918551,2.4587649889876824,1.104914990430254e-05,CDK17;CHD4;DBX2;DEK;ETV3;FOXO1;HIF1A;ID3;ID4;IKZF1;KAT6A;KLF13;LHX2;MBTD1;MITF;NFRKB;NPAS3;NR2C2;PRKCQ;PURG;REL;TSHZ3;ZFP36L2;ZHX1;ZNF438;ZNF516;ZNF664;ZNF707,0.0027604459510915847
BHLHE40,second_tier,regulon_targets,BHLHE40_regulon_targets,kegg,Transcriptional misregulation in cancer,221,173,7,0.03167420814479638,6.701200533570476,9.27729129599592e-05,AFF1;BMP2K;FOXO1;MEIS1;MITF;REL;SMAD1,0.003185203344958599
