tf,candidate_tier,gene_set_type,query_label,source,term,query_size,term_size,overlap_count,overlap_ratio,fold_enrichment,p_value,overlap_genes,fdr_bh
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Regulation Of Transcription By RNA Polymerase II (GO:0006357),458,1983,89,0.1943231441048035,3.5866976285324825,4.341673684671074e-26,ABL1;ACTR3;ANXA4;APBB2;ARID2;ARNT;ATF3;BACH1;BAZ1A;BAZ2B;BMPR1A;CAMK2D;CAMTA1;CHD1;CHD2;CNOT1;CREM;CTBP2;DACH1;EGR2;ESR1;EZR;FGFR2;FOXJ3;GLIS3;GTF2A1;HIVEP1;HIVEP2;IKZF1;KDM3A;LCOR;LINC-PINT;LITAF;LPIN2;MAF;MAML3;MECOM;MEF2A;MICAL2;MITF;MYC;NAMPT;NCOA3;NFAT5;NFATC1;NFE2L2;NFKB1;NFYA;NIPBL;NOG;NR3C1;NR4A2;NR4A3;NRIP1;OTUD7B;PHIP;PKD2;PPARG;PPP3R1;RBPJ;REL;REST;RUNX1;SDCBP;SMAD2;SMAD4;SMARCC1;SP4;SS18;STAT3;TCF12;TET2;THRB;TRPS1;UBE2D3;UBE2E1;USP9X;WASL;WWC2;WWTR1,1.1197176432766698e-22
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Positive Regulation Of DNA-templated Transcription (GO:0045893),458,1224,63,0.13755458515283842,4.113264192139738,1.8715928514161715e-21,ABL1;ACTR3;APBB2;ARNT;ATF3;BMPR1A;CTBP2;DYRK1A;EGR2;ESR1;FBXW11;FGFR2;FOXJ3;GLIS3;GTF2A1;HIVEP1;KANSL1;KDM3A;LITAF;LPIN2;MAML3;MAP2K1;MECOM;MEF2A;MICAL2;MITF;MYC;NAMPT;NCOA3;NFAT5;NFATC1;NFE2L2;NFKB1;NFYA;NR3C1;NR4A2;NR4A3;NRIP1;PHIP;PKD2;PPARG;PPP3R1;RBPJ;REL;REST;RUNX1;SMAD2;SMAD4;SMARCC1;SS18;STAT3;TCF12;TET2;TGFB2;THRB;UBE2E1;WASL;WWTR1;ZEB2;ZFHX3;ZFX;ZNF410;ZNF516,2.4134189819011532e-18
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),458,922,54,0.11790393013100436,4.680479117922875,5.645860441263509e-21,ABL1;ACTR3;APBB2;ARNT;ATF3;BMPR1A;CTBP2;EGR2;ESR1;FGFR2;FOXJ3;GLIS3;GTF2A1;HIVEP1;LITAF;LPIN2;MAML3;MEF2A;MICAL2;MITF;MYC;NAMPT;NCOA3;NFAT5;NFATC1;NFE2L2;NFKB1;NFYA;NR3C1;NR4A2;NR4A3;NRIP1;PHIP;PKD2;PPARG;PPP3R1;PWWP2A;RBPJ;REL;RUNX1;SMAD2;SMAD4;SS18;STAT3;TCF12;TET2;THRB;UBE2E1;WASL;WWTR1;ZEB2;ZFHX3;ZFX;ZNF410,4.853558026006197e-18
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Regulation Of DNA-templated Transcription (GO:0006355),458,1886,78,0.1703056768558952,3.305067910181665,1.1139979574665835e-20,ABL1;ANXA4;APBB2;ARID2;ARNT;ATF3;BACH1;BAZ1A;BAZ2B;BNC2;CAMK2D;CAMTA1;CBFA2T2;CENPF;CHD1;CHD2;CREM;CTBP2;DACH1;DAP;DYRK1A;EGR2;ESR1;FBXW11;FOXJ3;FOXN3;GLIS3;GPBP1L1;HIVEP1;HIVEP2;IKZF1;KANSL1;KDM3A;LCOR;MAF;MAP2K1;MECOM;MITF;MYC;NFAT5;NFATC1;NFE2L2;NFKB1;NFYA;NIPBL;NR3C1;NR4A2;NR4A3;PHIP;PPARG;RBFOX2;RBPJ;REL;REST;RUNX1;SMAD2;SMAD4;SMARCC1;SP4;SS18;STAT3;TCF12;TRPS1;UIMC1;USP47;WWC2;WWP1;WWTR1;ZEB1;ZEB2;ZFHX3;ZFX;ZHX2;ZNF410;ZNF438;ZNF516;ZNF644;ZNF827,6.6629330155951055e-18
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Negative Regulation Of DNA-templated Transcription (GO:0045892),458,1010,56,0.1222707423580786,4.43092221885944,1.2917667730893961e-20,APBB2;ATF3;BACH1;CBFA2T2;CENPF;CNOT1;CREM;CTBP2;DACH1;DAP;ESR1;EZR;FBXW11;FGFR2;FOXN3;GLIS3;HIVEP1;IKZF1;LCOR;LINC-PINT;MAF;MECOM;MEF2A;MITF;MYC;NFKB1;NIPBL;NOG;NR3C1;NR4A2;NR4A3;NRIP1;OTUD7B;PPARG;RBFOX2;RBPJ;REST;RUNX1;SDCBP;SMAD2;SMAD4;STAT3;THRB;TRPS1;UBE2D3;UIMC1;USP47;USP9X;WWC2;WWP1;YWHAZ;ZEB1;ZEB2;ZFHX3;ZHX2;ZNF827,6.6629330155951055e-18
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),458,753,43,0.09388646288209607,4.5635304488015915,1.7341215017619923e-16,APBB2;ATF3;BACH1;CNOT1;CREM;CTBP2;DACH1;ESR1;EZR;FGFR2;GLIS3;HIVEP1;LCOR;LINC-PINT;MAF;MEF2A;MITF;MYC;NFKB1;NIPBL;NOG;NR3C1;NR4A2;NR4A3;NRIP1;OTUD7B;PPARG;RBPJ;REST;RUNX1;SDCBP;SMAD4;STAT3;THRB;TRPS1;UBE2D3;USP9X;WWC2;YWHAZ;ZEB1;ZEB2;ZFHX3;ZHX2,7.45383225507363e-14
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Regulation Of Gene Expression (GO:0010468),458,1101,50,0.1091703056768559,3.6291937857208016,5.150257547758142e-15,ABL1;AFF1;AFF3;APBB2;ATXN7L3B;BACH1;BAZ1A;BMPR1A;BNC2;CDK6;CNTN1;CREM;ESR1;EZR;FOXN3;GPBP1L1;HNRNPH3;KANSL1;LITAF;LYN;MAP2K1;MBNL1;MITF;MYC;NFE2L2;NFKB1;NFKBIZ;NFYA;NOG;NR3C1;PPARG;PTBP3;PUM2;RBPJ;RDX;REL;REST;SFMBT2;SLC38A2;SPRY2;STAT3;TFRC;TGFB2;TIPARP;WWC2;WWTR1;ZFHX3;ZNF410;ZNF516;ZNF827,1.8975020308097498e-12
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Regulation Of Intracellular Signal Transduction (GO:1902531),458,296,22,0.048034934497816595,5.939617018765491,3.370376065247078e-11,AKAP13;ARHGAP5;ARHGEF28;CYLD;EZR;FBXO9;GNA13;GRB2;ITGAV;ITSN1;LYN;MAP4K4;PLEKHG1;RAPGEF3;RFFL;RICTOR;SGMS1;SPATA13;SPRED1;TAOK3;WWC2;WWTR1,1.0865249840340267e-08
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Protein Localization (GO:0008104),458,348,23,0.05021834061135371,5.281728404356774,1.2612516566916764e-10,AP3B1;CLTC;CNTLN;ITSN1;JAM3;MYO6;NIPBL;PARD3;PARD3B;PHIP;RAB1A;RAB31;RIC1;SNX13;SNX9;STX11;STX7;TM9SF3;USP9X;VCL;VPS26A;VPS45;WLS,3.614186691786482e-08
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Intracellular Protein Transport (GO:0006886),458,323,22,0.048034934497816595,5.443116524936796,1.8069388807650634e-10,AP3B1;CLTC;EGR2;EIF4ENIF1;FAM53B;KIF13B;MYO6;NUP98;PHIP;RAB1A;RAB31;RAB7A;RIC1;SNX13;SNX9;STAT3;STX11;STX7;SYK;VPS26A;VPS45;WLS,4.6600953734930985e-08
