tf,candidate_tier,gene_set_type,query_label,source,term,query_size,term_size,overlap_count,overlap_ratio,fold_enrichment,p_value,overlap_genes,fdr_bh
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Regulation Of Transcription By RNA Polymerase II (GO:0006357),458,1983,89,0.1943231441048035,3.5866976285324825,4.341673684671074e-26,ABL1;ACTR3;ANXA4;APBB2;ARID2;ARNT;ATF3;BACH1;BAZ1A;BAZ2B;BMPR1A;CAMK2D;CAMTA1;CHD1;CHD2;CNOT1;CREM;CTBP2;DACH1;EGR2;ESR1;EZR;FGFR2;FOXJ3;GLIS3;GTF2A1;HIVEP1;HIVEP2;IKZF1;KDM3A;LCOR;LINC-PINT;LITAF;LPIN2;MAF;MAML3;MECOM;MEF2A;MICAL2;MITF;MYC;NAMPT;NCOA3;NFAT5;NFATC1;NFE2L2;NFKB1;NFYA;NIPBL;NOG;NR3C1;NR4A2;NR4A3;NRIP1;OTUD7B;PHIP;PKD2;PPARG;PPP3R1;RBPJ;REL;REST;RUNX1;SDCBP;SMAD2;SMAD4;SMARCC1;SP4;SS18;STAT3;TCF12;TET2;THRB;TRPS1;UBE2D3;UBE2E1;USP9X;WASL;WWC2;WWTR1,1.1197176432766698e-22
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Positive Regulation Of DNA-templated Transcription (GO:0045893),458,1224,63,0.13755458515283842,4.113264192139738,1.8715928514161715e-21,ABL1;ACTR3;APBB2;ARNT;ATF3;BMPR1A;CTBP2;DYRK1A;EGR2;ESR1;FBXW11;FGFR2;FOXJ3;GLIS3;GTF2A1;HIVEP1;KANSL1;KDM3A;LITAF;LPIN2;MAML3;MAP2K1;MECOM;MEF2A;MICAL2;MITF;MYC;NAMPT;NCOA3;NFAT5;NFATC1;NFE2L2;NFKB1;NFYA;NR3C1;NR4A2;NR4A3;NRIP1;PHIP;PKD2;PPARG;PPP3R1;RBPJ;REL;REST;RUNX1;SMAD2;SMAD4;SMARCC1;SS18;STAT3;TCF12;TET2;TGFB2;THRB;UBE2E1;WASL;WWTR1;ZEB2;ZFHX3;ZFX;ZNF410;ZNF516,2.4134189819011532e-18
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),458,922,54,0.11790393013100436,4.680479117922875,5.645860441263509e-21,ABL1;ACTR3;APBB2;ARNT;ATF3;BMPR1A;CTBP2;EGR2;ESR1;FGFR2;FOXJ3;GLIS3;GTF2A1;HIVEP1;LITAF;LPIN2;MAML3;MEF2A;MICAL2;MITF;MYC;NAMPT;NCOA3;NFAT5;NFATC1;NFE2L2;NFKB1;NFYA;NR3C1;NR4A2;NR4A3;NRIP1;PHIP;PKD2;PPARG;PPP3R1;PWWP2A;RBPJ;REL;RUNX1;SMAD2;SMAD4;SS18;STAT3;TCF12;TET2;THRB;UBE2E1;WASL;WWTR1;ZEB2;ZFHX3;ZFX;ZNF410,4.853558026006197e-18
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Regulation Of DNA-templated Transcription (GO:0006355),458,1886,78,0.1703056768558952,3.305067910181665,1.1139979574665835e-20,ABL1;ANXA4;APBB2;ARID2;ARNT;ATF3;BACH1;BAZ1A;BAZ2B;BNC2;CAMK2D;CAMTA1;CBFA2T2;CENPF;CHD1;CHD2;CREM;CTBP2;DACH1;DAP;DYRK1A;EGR2;ESR1;FBXW11;FOXJ3;FOXN3;GLIS3;GPBP1L1;HIVEP1;HIVEP2;IKZF1;KANSL1;KDM3A;LCOR;MAF;MAP2K1;MECOM;MITF;MYC;NFAT5;NFATC1;NFE2L2;NFKB1;NFYA;NIPBL;NR3C1;NR4A2;NR4A3;PHIP;PPARG;RBFOX2;RBPJ;REL;REST;RUNX1;SMAD2;SMAD4;SMARCC1;SP4;SS18;STAT3;TCF12;TRPS1;UIMC1;USP47;WWC2;WWP1;WWTR1;ZEB1;ZEB2;ZFHX3;ZFX;ZHX2;ZNF410;ZNF438;ZNF516;ZNF644;ZNF827,6.6629330155951055e-18
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Negative Regulation Of DNA-templated Transcription (GO:0045892),458,1010,56,0.1222707423580786,4.43092221885944,1.2917667730893961e-20,APBB2;ATF3;BACH1;CBFA2T2;CENPF;CNOT1;CREM;CTBP2;DACH1;DAP;ESR1;EZR;FBXW11;FGFR2;FOXN3;GLIS3;HIVEP1;IKZF1;LCOR;LINC-PINT;MAF;MECOM;MEF2A;MITF;MYC;NFKB1;NIPBL;NOG;NR3C1;NR4A2;NR4A3;NRIP1;OTUD7B;PPARG;RBFOX2;RBPJ;REST;RUNX1;SDCBP;SMAD2;SMAD4;STAT3;THRB;TRPS1;UBE2D3;UIMC1;USP47;USP9X;WWC2;WWP1;YWHAZ;ZEB1;ZEB2;ZFHX3;ZHX2;ZNF827,6.6629330155951055e-18
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Pathways in cancer,458,529,36,0.07860262008733625,5.438439504379194,2.605145373297741e-16,ABL1;ARNT;BCL2L1;CAMK2D;CCNA1;CDK6;CTBP2;CTNNA1;CUL1;DAPK1;ESR1;FGFR2;GNA13;GNG10;GRB2;HHIP;HSP90B1;ITGAV;JAK1;LPAR1;MAP2K1;MECOM;MITF;MYC;NCOA3;NFE2L2;NFKB1;PLD1;PPARG;PRKCA;RUNX1;SMAD2;SMAD4;STAT3;TGFB2;XIAP,6.304451803380534e-14
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),458,753,43,0.09388646288209607,4.5635304488015915,1.7341215017619923e-16,APBB2;ATF3;BACH1;CNOT1;CREM;CTBP2;DACH1;ESR1;EZR;FGFR2;GLIS3;HIVEP1;LCOR;LINC-PINT;MAF;MEF2A;MITF;MYC;NFKB1;NIPBL;NOG;NR3C1;NR4A2;NR4A3;NRIP1;OTUD7B;PPARG;RBPJ;REST;RUNX1;SDCBP;SMAD4;STAT3;THRB;TRPS1;UBE2D3;USP9X;WWC2;YWHAZ;ZEB1;ZEB2;ZFHX3;ZHX2,7.45383225507363e-14
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Transcription By RNA Polymerase II (GO:0006357),245,1983,50,0.20408163265306123,3.7668138359731187,3.683572919305499e-16,ACTR3;ANXA4;ARID2;BACH1;BAZ1A;BAZ2B;CAMK2D;CHD1;CHD2;CTBP2;EZR;FGFR2;GLIS3;GTF2A1;HIVEP1;IKZF1;KDM3A;LITAF;LPIN2;MEF2A;MITF;NAMPT;NFATC1;NFE2L2;NFKB1;NIPBL;NR3C1;NR4A2;NRIP1;PHIP;PPARG;RBPJ;REL;REST;RUNX1;SDCBP;SMAD2;SMAD4;SS18;TCF12;TET2;TRPS1;UBE2E1;WASL;ZEB1;ZFHX3;ZFX;ZHX2;ZNF438;ZNF644,6.917749942455727e-13
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Regulation Of Gene Expression (GO:0010468),458,1101,50,0.1091703056768559,3.6291937857208016,5.150257547758142e-15,ABL1;AFF1;AFF3;APBB2;ATXN7L3B;BACH1;BAZ1A;BMPR1A;BNC2;CDK6;CNTN1;CREM;ESR1;EZR;FOXN3;GPBP1L1;HNRNPH3;KANSL1;LITAF;LYN;MAP2K1;MBNL1;MITF;MYC;NFE2L2;NFKB1;NFKBIZ;NFYA;NOG;NR3C1;PPARG;PTBP3;PUM2;RBPJ;RDX;REL;REST;SFMBT2;SLC38A2;SPRY2;STAT3;TFRC;TGFB2;TIPARP;WWC2;WWTR1;ZFHX3;ZNF410;ZNF516;ZNF827,1.8975020308097498e-12
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of DNA-templated Transcription (GO:0045893),245,1224,36,0.1469387755102041,4.393877551020409,1.0117769100847501e-13,ACTR3;CTBP2;DYRK1A;FGFR2;GLIS3;GTF2A1;HIVEP1;KDM3A;LITAF;LPIN2;MEF2A;MITF;NAMPT;NFATC1;NFE2L2;NFKB1;NR3C1;NR4A2;NRIP1;PHIP;PPARG;RBPJ;REL;REST;RUNX1;SMAD2;SMAD4;SS18;TCF12;TET2;TGFB2;UBE2E1;WASL;ZFHX3;ZFX;ZNF516,9.500585185695803e-11
