tf,candidate_tier,gene_set_type,query_label,source,term,query_size,term_size,overlap_count,overlap_ratio,fold_enrichment,p_value,overlap_genes,fdr_bh
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),13,14,3,0.23076923076923078,603.3131868131868,1.27114845781625e-08,RIMS1;RIMS2;SYT1,1.5109457241272884e-06
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Positive Regulation Of Dendrite Extension (GO:1903861),13,16,3,0.23076923076923078,527.8990384615385,1.954811494157361e-08,RIMS1;RIMS2;SYT1,1.5109457241272884e-06
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Regulation Of Dendrite Extension (GO:1903859),13,17,3,0.23076923076923078,496.84615384615387,2.373213179257521e-08,RIMS1;RIMS2;SYT1,1.5109457241272884e-06
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Modulation Of Chemical Synaptic Transmission (GO:0050804),13,122,4,0.3076923076923077,92.31021437578815,8.207050492958407e-08,GRM5;RIMS1;RIMS2;SYT1,3.459898455056801e-06
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Calcium-Ion Regulated Exocytosis (GO:0017156),13,26,3,0.23076923076923078,324.86094674556216,9.057325798578013e-08,RIMS1;RIMS2;SYT1,3.459898455056801e-06
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),17,14,3,0.17647058823529413,461.3571428571429,3.019586542915015e-08,RIMS1;RIMS2;SYT1,3.6446986106450065e-06
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Positive Regulation Of Dendrite Extension (GO:1903861),17,16,3,0.17647058823529413,403.68750000000006,4.642852450894511e-08,RIMS1;RIMS2;SYT1,3.6446986106450065e-06
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Regulation Of Dendrite Extension (GO:1903859),17,17,3,0.17647058823529413,379.94117647058823,5.636131872131453e-08,RIMS1;RIMS2;SYT1,3.6446986106450065e-06
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Positive Regulation Of Cell Communication (GO:0010647),13,30,3,0.23076923076923078,281.54615384615386,1.4131770280669647e-07,RIMS1;RIMS2;SYT1,4.498613539346504e-06
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Regulation Of Regulated Secretory Pathway (GO:1903305),13,35,3,0.23076923076923078,241.32527472527474,2.2758049469347487e-07,RIMS1;RIMS2;SYT1,6.209696355207671e-06
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Positive Regulation Of Signaling (GO:0023056),13,37,3,0.23076923076923078,228.28066528066532,2.7006502255041146e-07,RIMS1;RIMS2;SYT1,6.447802413391074e-06
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Synaptic Vesicle Exocytosis (GO:0016079),13,41,3,0.23076923076923078,206.0093808630394,3.702102064223181e-07,RIMS1;RIMS2;SYT1,7.856683269629197e-06
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Neurotransmitter Secretion (GO:0007269),13,43,3,0.23076923076923078,196.4275491949911,4.2841380990833077e-07,RIMS1;RIMS2;SYT1,8.182703769249118e-06
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Calcium-Ion Regulated Exocytosis (GO:0017156),17,26,3,0.17647058823529413,248.42307692307696,2.1494332875903694e-07,RIMS1;RIMS2;SYT1,1.042475144481329e-05
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Modulation Of Chemical Synaptic Transmission (GO:0050804),17,122,4,0.23529411764705882,70.59016393442623,2.7038045828791686e-07,GRM5;RIMS1;RIMS2;SYT1,1.0490761781571174e-05
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Positive Regulation Of Cell Communication (GO:0010647),17,30,3,0.17647058823529413,215.3,3.352572308865346e-07,RIMS1;RIMS2;SYT1,1.083998379866462e-05
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Positive Regulation Of Developmental Growth (GO:0048639),13,49,3,0.23076923076923078,172.3751962323391,6.387968950239443e-07,RIMS1;RIMS2;SYT1,1.109183699541576e-05
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Regulation Of Regulated Secretory Pathway (GO:1903305),17,35,3,0.17647058823529413,184.54285714285717,5.396828724598486e-07,RIMS1;RIMS2;SYT1,1.4956925322458662e-05
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Positive Regulation Of Signaling (GO:0023056),17,37,3,0.17647058823529413,174.5675675675676,6.40325425526693e-07,RIMS1;RIMS2;SYT1,1.5527891569022303e-05
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Synaptic Vesicle Exocytosis (GO:0016079),17,41,3,0.17647058823529413,157.53658536585368,8.7748240256734e-07,RIMS1;RIMS2;SYT1,1.8914620677562662e-05
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Neurotransmitter Secretion (GO:0007269),17,43,3,0.17647058823529413,150.2093023255814,1.0152717517744896e-06,RIMS1;RIMS2;SYT1,1.9696271984425097e-05
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Regulation Of Secretion By Cell (GO:1903530),13,63,3,0.23076923076923078,134.06959706959708,1.3729130665416837e-06,RIMS1;RIMS2;SYT1,2.1852199642455132e-05
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Positive Regulation Of Developmental Growth (GO:0048639),17,49,3,0.17647058823529413,131.81632653061226,1.513101585015241e-06,RIMS1;RIMS2;SYT1,2.668560977208698e-05
THRB,primary_internal_control_axis,intersection_directional,THRB_intersection_directional,go,Positive Regulation Of Synaptic Transmission (GO:0050806),13,77,3,0.23076923076923078,109.6933066933067,2.5217367450365085e-06,RIMS1;RIMS2;SYT1,3.7050132177074854e-05
THRB,primary_internal_control_axis,regulon_targets,THRB_regulon_targets,go,Regulation Of Secretion By Cell (GO:1903530),17,63,3,0.17647058823529413,102.52380952380952,3.2482548648855107e-06,RIMS1;RIMS2;SYT1,5.251345364898243e-05
