Regulon,Mean AUC difference (lesion − internal-control),FDR,Direction,Rank
THRB(+),-0.245,4.05e-114,internal-control-associated,1
TCF4(+),-0.114,2.52e-49,internal-control-associated,2
SOX2(+),0.096,9.39e-66,lesion-associated,3
CEBPD(+),0.077,1.01e-48,lesion-associated,4
PDLIM5(+),0.072,1.64e-15,lesion-associated,5
SATB2(+),-0.071,5.55e-99,internal-control-associated,6
PBX1(+),-0.067,7.65e-11,internal-control-associated,7
NR5A2(+),-0.052,9.35e-35,internal-control-associated,8
CUX1(+),-0.046,1.02e-28,internal-control-associated,9
RARB(+),-0.046,1.97e-81,internal-control-associated,10
DBX2(+),0.045,2.83e-15,lesion-associated,11
KLF12(+),-0.044,8.28e-25,internal-control-associated,12
HSF2(+),-0.044,9.56e-46,internal-control-associated,13
SOX10(+),-0.04,2.09e-39,internal-control-associated,14
FLI1(+),0.035,1.70e-07,lesion-associated,15
NR2F2(+),-0.034,2.73e-49,internal-control-associated,16
BHLHE41(+),0.033,4.28e-09,lesion-associated,17
JUNB(+),0.03,9.31e-14,lesion-associated,18
GABPB1(+),0.029,9.83e-15,lesion-associated,19
ZNF383(+),0.028,3.19e-11,lesion-associated,20
HES1(+),-0.028,2.47e-12,internal-control-associated,21
SMAD3(+),-0.026,6.92e-59,internal-control-associated,22
RORA(+),0.025,9.33e-03,lesion-associated,23
PBX4(+),-0.023,1.82e-27,internal-control-associated,24
KLF4(+),0.023,1.61e-12,lesion-associated,25
ATF7(+),0.023,7.06e-21,lesion-associated,26
IRF8(+),0.023,6.48e-04,lesion-associated,27
CHD1(+),0.021,2.82e-08,lesion-associated,28
SKI(+),-0.021,5.75e-59,internal-control-associated,29
BHLHE40(+),0.02,1.28e-34,lesion-associated,30
SOX9(+),0.02,3.62e-07,lesion-associated,31
HLTF(+),0.019,1.64e-07,lesion-associated,32
MAF(+),-0.018,1.68e-26,internal-control-associated,33
ETS1(+),0.017,8.88e-18,lesion-associated,34
NR4A2(+),0.017,3.45e-01,lesion-associated,35
NFATC3(+),-0.017,8.88e-18,internal-control-associated,36
FOXK2(+),-0.017,1.73e-46,internal-control-associated,37
TCF7L1(+),0.016,5.04e-13,lesion-associated,38
NR3C1(+),-0.016,8.57e-24,internal-control-associated,39
ELF1(+),0.016,1.70e-35,lesion-associated,40
HMGA1(+),0.015,1.69e-19,lesion-associated,41
KLF10(+),0.014,1.07e-24,lesion-associated,42
IKZF2(+),0.014,2.62e-21,lesion-associated,43
IKZF1(+),0.014,1.59e-17,lesion-associated,44
EGR2(+),0.014,7.88e-05,lesion-associated,45
USF2(+),0.013,8.30e-04,lesion-associated,46
IRF9(+),0.013,8.95e-13,lesion-associated,47
PURA(+),-0.012,6.98e-29,internal-control-associated,48
NFIA(+),0.012,1.01e-05,lesion-associated,49
NR2C1(+),-0.012,4.58e-06,internal-control-associated,50
KLF6(+),0.012,1.51e-09,lesion-associated,51
ZNF267(+),0.011,1.56e-06,lesion-associated,52
ZNF433(+),0.011,7.54e-02,lesion-associated,53
JUND(+),-0.011,4.05e-80,internal-control-associated,54
EP300(+),-0.01,7.14e-38,internal-control-associated,55
NFE2L1(+),0.01,1.39e-01,lesion-associated,56
POU2F1(+),0.01,3.97e-01,lesion-associated,57
E2F1(+),0.009,1.46e-01,lesion-associated,58
STAT4(+),0.009,2.70e-01,lesion-associated,59
