,mean_auc
THRB(+),0.5265950620421752
TCF4(+),0.501575110167789
PBX1(+),0.4769522222692892
PDLIM5(+),0.3299478882526284
POU2F1(+),0.27493110565133694
KLF12(+),0.23454181041718633
SOX2(+),0.2146586935136941
RORA(+),0.21207143717421467
CEBPD(+),0.20960890302610977
E2F1(+),0.19826285047278816
HSF2(+),0.17777220214632844
NFIA(+),0.17075543907722554
SATB2(+),0.16535122884362363
NFE2L1(+),0.1578025611779724
RARB(+),0.15460439928825864
NR3C1(+),0.1545343543350306
CUX1(+),0.1465538873659346
ZBTB20(+),0.14495191596961318
HES1(+),0.13495223285936842
PURA(+),0.13453662827622126
SMAD3(+),0.13293425822071522
RB1(+),0.13154831198442238
IRF8(+),0.13010458487673926
BACH1(+),0.1300566410196429
BHLHE41(+),0.12745764360539635
RUNX3(+),0.12539106809185596
FLI1(+),0.12505216594575677
MAF(+),0.12475927410971512
NFE2L2(+),0.12423728494460884
SREBF2(+),0.12351422660735185
E2F3(+),0.12097586795504783
SOX9(+),0.11942085210130701
ZNF267(+),0.11724507753863449
SOX10(+),0.11566885894380562
ZFX(+),0.11492563901581147
NR5A2(+),0.11473715423391367
BHLHE40(+),0.10867071600627695
CHD1(+),0.1084157622514889
ELF2(+),0.10815407486777973
STAT1(+),0.10789556015347214
DBX2(+),0.10331720503491586
ELF1(+),0.10277402678974795
IKZF1(+),0.10059117964936629
SP3(+),0.1002486031357142
HIVEP1(+),0.10015198724797571
NR2F2(+),0.09778520540159033
HIF1A(+),0.09686623263634316
EP300(+),0.09536898286544217
IKZF2(+),0.0951221361629291
NFKB1(+),0.09294741969933089
NFATC3(+),0.09257969328777242
KLF10(+),0.08828651010705389
EGR2(+),0.08816812473566822
NR2C2(+),0.0880201248413731
POU2F2(+),0.08728565175381794
KLF4(+),0.08689782940752863
NR4A2(+),0.08687351836947292
MAX(+),0.08600049711286409
KLF6(+),0.08567554639370323
ETS2(+),0.08493771072296505
THRA(+),0.08445369439727039
BCLAF1(+),0.08386189741309079
E2F2(+),0.07930126206705723
SMAD1(+),0.07884260788937364
HOXD10(+),0.06905795698208961
YY1(+),0.06893696477893128
STAT4(+),0.06608321213576009
FOXK2(+),0.06385046923416289
ATF7(+),0.06365597251704475
ELK4(+),0.06022214960453616
ZNF383(+),0.0598428432244673
SKI(+),0.05863218728984932
STAT6(+),0.05478091800369087
JUND(+),0.05436796357559331
CEBPE(+),0.054225710560695924
TCF7L1(+),0.04969896488551222
PBX4(+),0.04945504236816133
SOX7(+),0.04433299366634815
HLTF(+),0.04323336298555511
ZNF384(+),0.04273940807172474
ETS1(+),0.04248602781929757
ZNF37A(+),0.04208615147107965
ATF1(+),0.041938745604256096
ZNF433(+),0.04106476354538368
JUNB(+),0.041006963565420794
GABPB1(+),0.03970733727754949
HMGA1(+),0.039142897822209005
FOXC2(+),0.03911805392425542
NFYB(+),0.0390114984726752
USF2(+),0.03706004104244031
ZNF75A(+),0.03704249681120947
ZNF250(+),0.03593830455185137
TBP(+),0.03550941811044744
ETV6(+),0.03528802980130971
NR2C1(+),0.033561020036429856
IRF9(+),0.029529141544645393
ETV2(+),0.02929570482076092
TBX21(+),0.027153920133544795
ARID5A(+),0.026679986632966675
GTF2IRD1(+),0.024021322807699707
WT1(+),0.021183864955309842
FOXC1(+),0.020861914780455872
GATA6(+),0.018860872245991037
DBP(+),0.01857311626024295
GCM1(+),0.00442535876835025
