regulon,mean_auc,std_auc,variance_auc,nonzero_fraction
THRB(+),0.526595,0.25378457,0.0644066,1.0
TCF4(+),0.5015751,0.1635964,0.026763782,1.0
PBX1(+),0.47695237,0.14158255,0.02004562,1.0
PDLIM5(+),0.32994798,0.19091411,0.036448196,0.9814814814814815
POU2F1(+),0.27493122,0.12919253,0.01669071,0.9879414298018949
KLF12(+),0.23454168,0.09355055,0.008751704,1.0
SOX2(+),0.21465868,0.13092604,0.017141629,0.9560723514211886
RORA(+),0.21207118,0.09955161,0.009910524,1.0
CEBPD(+),0.20960873,0.115851395,0.013421546,0.9806201550387597
E2F1(+),0.19826302,0.10837489,0.011745118,0.9491817398794143
HSF2(+),0.17777207,0.0730542,0.005336916,0.9771748492678726
NFIA(+),0.17075539,0.05335134,0.0028463653,1.0
SATB2(+),0.16535132,0.07827495,0.0061269677,1.0
NFE2L1(+),0.1578027,0.05415618,0.002932892,1.0
RARB(+),0.1546043,0.057600297,0.0033177943,1.0
NR3C1(+),0.15453425,0.035671722,0.0012724717,1.0
CUX1(+),0.14655404,0.09564465,0.009147899,0.8673557278208441
ZBTB20(+),0.14495204,0.03788923,0.0014355937,1.0
HES1(+),0.13495235,0.08360801,0.0069902996,0.8531438415159346
PURA(+),0.13453667,0.027063346,0.00073242467,1.0
SMAD3(+),0.13293412,0.03710232,0.0013765822,1.0
RB1(+),0.13154836,0.027963996,0.00078198506,1.0
IRF8(+),0.13010457,0.086090334,0.007411545,0.9780361757105943
BACH1(+),0.13005677,0.027135542,0.0007363376,1.0
BHLHE41(+),0.12745765,0.10994257,0.012087368,0.8863049095607235
RUNX3(+),0.12539119,0.07875097,0.006201715,0.8613264427217916
FLI1(+),0.12505203,0.104817405,0.010986689,0.9069767441860465
MAF(+),0.12475928,0.045738544,0.0020920143,1.0
NFE2L2(+),0.1242373,0.029449986,0.00086730166,1.0
SREBF2(+),0.123514235,0.025329994,0.00064160855,1.0
E2F3(+),0.120975964,0.029417166,0.0008653697,1.0
SOX9(+),0.119420804,0.07242977,0.005246071,0.9956933677863911
ZNF267(+),0.117245115,0.043732874,0.0019125642,1.0
SOX10(+),0.11566881,0.08796689,0.0077381735,0.9142980189491817
ZFX(+),0.1149256,0.02351575,0.0005529905,1.0
NR5A2(+),0.114737116,0.10244184,0.01049433,0.6425495262704565
BHLHE40(+),0.108670674,0.034454204,0.0011870923,1.0
CHD1(+),0.10841578,0.07069254,0.0049974355,0.9681309216192937
ELF2(+),0.10815415,0.023220891,0.00053920975,1.0
STAT1(+),0.10789569,0.019706406,0.00038834242,1.0
DBX2(+),0.10331719,0.10958039,0.012007861,0.6748492678725236
ELF1(+),0.10277404,0.029317938,0.0008595415,1.0
IKZF1(+),0.10059121,0.03929528,0.001544119,1.0
SP3(+),0.10024861,0.017910054,0.00032077005,1.0
HIVEP1(+),0.100151986,0.098931596,0.009787461,0.7222222222222222
NR2F2(+),0.09778519,0.07514241,0.0056463825,0.9862187769164513
HIF1A(+),0.09686625,0.05769368,0.0033285604,0.9965546942291128
EP300(+),0.09536895,0.01739627,0.0003026302,1.0
IKZF2(+),0.09512211,0.035453755,0.0012569688,1.0
NFKB1(+),0.09294744,0.03615857,0.0013074422,1.0
NFATC3(+),0.09257966,0.051559415,0.0026583732,0.929801894918174
KLF10(+),0.088286646,0.03145634,0.0009895014,1.0
EGR2(+),0.08816816,0.049140517,0.0024147902,1.0
NR2C2(+),0.08802002,0.024797546,0.00061491824,1.0
POU2F2(+),0.08728561,0.10912483,0.011908229,0.6447028423772609
KLF4(+),0.086897805,0.06970851,0.0048592766,0.97114556416882
NR4A2(+),0.086873494,0.08616281,0.0074240305,0.867786391042205
MAX(+),0.086000614,0.017234491,0.00029702767,1.0
KLF6(+),0.08567552,0.03897671,0.0015191839,1.0
ETS2(+),0.084937654,0.06974046,0.004863732,0.9573643410852714
THRA(+),0.084453635,0.016306266,0.0002658943,1.0
BCLAF1(+),0.08386197,0.011202015,0.00012548514,1.0
E2F2(+),0.079301216,0.042753603,0.0018278705,1.0
SMAD1(+),0.07884259,0.02299924,0.000528965,1.0
HOXD10(+),0.069058046,0.04029545,0.0016237232,0.9926787252368647
YY1(+),0.06893695,0.036608905,0.001340212,0.9633936261843239
STAT4(+),0.066083215,0.07486305,0.0056044753,0.6632213608957795
FOXK2(+),0.06385058,0.027447278,0.00075335306,0.9991386735572783
ATF7(+),0.06365604,0.05428286,0.002946629,0.9031007751937985
ELK4(+),0.060222104,0.063818425,0.004072791,0.7209302325581395
ZNF383(+),0.059842788,0.0776633,0.0060315887,0.5641688199827735
SKI(+),0.05863207,0.029716318,0.00088305963,0.987510766580534
STAT6(+),0.05478092,0.05040244,0.002540406,0.7747631352282515
JUND(+),0.05436796,0.013552309,0.00018366508,1.0
