regulon,mean_auc,std_auc,variance_auc,nonzero_fraction
THRB(+),0.526595,0.25378457,0.0644066,1.0
PDLIM5(+),0.32994798,0.19091411,0.036448196,0.9814814814814815
TCF4(+),0.5015751,0.1635964,0.026763782,1.0
PBX1(+),0.47695237,0.14158255,0.02004562,1.0
SOX2(+),0.21465868,0.13092604,0.017141629,0.9560723514211886
POU2F1(+),0.27493122,0.12919253,0.01669071,0.9879414298018949
CEBPD(+),0.20960873,0.115851395,0.013421546,0.9806201550387597
BHLHE41(+),0.12745765,0.10994257,0.012087368,0.8863049095607235
DBX2(+),0.10331719,0.10958039,0.012007861,0.6748492678725236
POU2F2(+),0.08728561,0.10912483,0.011908229,0.6447028423772609
E2F1(+),0.19826302,0.10837489,0.011745118,0.9491817398794143
FLI1(+),0.12505203,0.104817405,0.010986689,0.9069767441860465
