regulon,mean_auc,std_auc,variance_auc,nonzero_fraction
THRB(+),0.526595,0.25378457,0.0644066,1.0
TCF4(+),0.5015751,0.1635964,0.026763782,1.0
PBX1(+),0.47695237,0.14158255,0.02004562,1.0
PDLIM5(+),0.32994798,0.19091411,0.036448196,0.9814814814814815
POU2F1(+),0.27493122,0.12919253,0.01669071,0.9879414298018949
KLF12(+),0.23454168,0.09355055,0.008751704,1.0
SOX2(+),0.21465868,0.13092604,0.017141629,0.9560723514211886
RORA(+),0.21207118,0.09955161,0.009910524,1.0
CEBPD(+),0.20960873,0.115851395,0.013421546,0.9806201550387597
E2F1(+),0.19826302,0.10837489,0.011745118,0.9491817398794143
HSF2(+),0.17777207,0.0730542,0.005336916,0.9771748492678726
NFIA(+),0.17075539,0.05335134,0.0028463653,1.0
SATB2(+),0.16535132,0.07827495,0.0061269677,1.0
NFE2L1(+),0.1578027,0.05415618,0.002932892,1.0
RARB(+),0.1546043,0.057600297,0.0033177943,1.0
NR3C1(+),0.15453425,0.035671722,0.0012724717,1.0
CUX1(+),0.14655404,0.09564465,0.009147899,0.8673557278208441
ZBTB20(+),0.14495204,0.03788923,0.0014355937,1.0
HES1(+),0.13495235,0.08360801,0.0069902996,0.8531438415159346
PURA(+),0.13453667,0.027063346,0.00073242467,1.0
SMAD3(+),0.13293412,0.03710232,0.0013765822,1.0
RB1(+),0.13154836,0.027963996,0.00078198506,1.0
IRF8(+),0.13010457,0.086090334,0.007411545,0.9780361757105943
BACH1(+),0.13005677,0.027135542,0.0007363376,1.0
BHLHE41(+),0.12745765,0.10994257,0.012087368,0.8863049095607235
