tf,dropped_donor,analysis_unit_col,gene_found,n_cells_remaining,lesion_cells_remaining,internal_control_cells_remaining,expr_mean_lesion,expr_mean_internal_control,expr_positive_fraction_lesion,expr_positive_fraction_internal_control,expr_log2fc,expr_direction,expr_p,expr_statistic,expr_fdr,full_data_expr_log2fc,expr_direction_consistent_with_full,expr_significant_fdr05,regulon,regulon_found,regulon_diff,regulon_direction,regulon_p,regulon_fdr,full_data_regulon_diff,regulon_direction_consistent_with_full,regulon_significant_fdr05,overall_consistency_flag
NFE2L2,FULL_DATA,sample_id,True,2322,888,1434,0.597972972972973,0.3716875871687587,0.36261261261261263,0.2824267782426778,0.6859897689279468,lesion,2.0400121525218367e-06,697518.5,2.8560170135305713e-06,0.6859897689279468,True,True,NFE2L2(+),True,0.008898228793965457,lesion,4.367644726134391e-20,4.662581558216919e-20,0.008898228793965457,True,True,True
THRB,FULL_DATA,sample_id,True,2322,888,1434,1.5337837837837838,1.9707112970711298,0.44256756756756754,0.6415620641562064,-0.36162131976152595,internal_control,1.3591346604568527e-21,494129.5,4.756971311598985e-21,-0.36162131976152595,True,True,THRB(+),True,-0.24515406903465886,internal_control,3.860376295530394e-116,2.7022634068712758e-115,-0.24515406903465886,True,True,True
BHLHE40,FULL_DATA,sample_id,True,2322,888,1434,0.21734234234234234,0.09832635983263599,0.15878378378378377,0.08647140864714087,1.1443191191864623,lesion,5.563451290129727e-08,683719.0,9.736039757727023e-08,1.1443191191864623,True,True,BHLHE40(+),True,0.02021549666665376,lesion,2.1874907216400125e-35,3.0624870102960177e-35,0.02021549666665376,True,True,True
SOX2,FULL_DATA,sample_id,True,2322,888,1434,0.3310810810810811,0.20781032078103207,0.25225225225225223,0.17573221757322174,0.6719172641411649,lesion,3.4681325618758974e-06,687848.0,4.0461546555218806e-06,0.6719172641411649,True,True,SOX2(+),True,0.09623444145320126,lesion,4.4710813819065815e-67,7.824392418336518e-67,0.09623444145320126,True,True,True
HMGA1,FULL_DATA,sample_id,True,2322,888,1434,0.07545045045045046,0.044630404463040445,0.07207207207207207,0.041143654114365415,0.7575026196052784,lesion,0.0012777557752058743,656316.5,0.0012777557752058743,0.7575026196052784,True,True,HMGA1(+),True,0.015433060816606364,lesion,4.662581558216919e-20,4.662581558216919e-20,0.015433060816606364,True,True,True
SATB2,FULL_DATA,sample_id,True,2322,888,1434,0.5844594594594594,0.9539748953974896,0.17567567567567569,0.4107391910739191,-0.7068483432200912,internal_control,2.1291395344764308e-32,482956.0,1.4903976741335015e-31,-0.7068483432200912,True,True,SATB2(+),True,-0.07053256736969436,internal_control,1.0567786168620208e-100,3.698725159017073e-100,-0.07053256736969436,True,True,True
RARB,FULL_DATA,sample_id,True,2322,888,1434,0.23085585585585586,0.3584379358437936,0.11261261261261261,0.2315202231520223,-0.6347310051122514,internal_control,2.6176237734857405e-12,562273.5,6.107788804800061e-12,-0.6347310051122514,True,True,RARB(+),True,-0.04610460998967611,internal_control,5.619653643887133e-83,1.3112525169069976e-82,-0.04610460998967611,True,True,True
NFE2L2,GSM8299712,sample_id,True,1799,888,911,0.597972972972973,0.4138309549945115,0.36261261261261263,0.3029637760702525,0.5310387139138827,lesion,0.0012465815756964598,434042.5,0.0014543451716458697,0.6859897689279468,True,True,NFE2L2(+),True,0.006318996581025915,lesion,5.499104579031139e-10,6.415622008869662e-10,0.008898228793965457,True,True,True
THRB,GSM8299712,sample_id,True,1799,888,911,1.5337837837837838,2.1031833150384194,0.44256756756756754,0.575192096597146,-0.4554794800175104,internal_control,1.401107834623448e-11,334915.0,9.222241175933938e-11,-0.36162131976152595,True,True,THRB(+),True,-0.15710879381660736,internal_control,4.0245368963596577e-48,2.8171758274517603e-47,-0.24515406903465886,True,True,True
BHLHE40,GSM8299712,sample_id,True,1799,888,911,0.21734234234234234,0.10318331503841932,0.15878378378378377,0.09110867178924259,1.0747595556984164,lesion,8.800884048269747e-06,432522.0,1.5401547084472055e-05,1.1443191191864623,True,True,BHLHE40(+),True,0.011837998312515571,lesion,3.0559778107519266e-11,4.278368935052697e-11,0.02021549666665376,True,True,True
