tf,regulon,dropped_donor,analysis_unit_col,regulon_found,n_cells_remaining,lesion_cells_remaining,internal_control_cells_remaining,regulon_mean_lesion,regulon_mean_internal_control,regulon_diff,regulon_direction,regulon_p,regulon_statistic,regulon_fdr,full_data_regulon_diff,regulon_direction_consistent_with_full,regulon_significant_fdr05
NFE2L2,NFE2L2(+),FULL_DATA,sample_id,True,2322,888,1434,0.12973257345944508,0.12083434466547963,0.008898228793965457,lesion,4.367644726134391e-20,780805.5,4.662581558216919e-20,0.008898228793965457,True,True
THRB,THRB(+),FULL_DATA,sample_id,True,2322,888,1434,0.3751950042725012,0.62034907330716,-0.24515406903465886,internal_control,3.860376295530394e-116,277026.0,2.7022634068712758e-115,-0.24515406903465886,True,True
BHLHE40,BHLHE40(+),FULL_DATA,sample_id,True,2322,888,1434,0.12115522164029179,0.10093972497363803,0.02021549666665376,lesion,2.1874907216400125e-35,831607.0,3.0624870102960177e-35,0.02021549666665376,True,True
SOX2,SOX2(+),FULL_DATA,sample_id,True,2322,888,1434,0.2740902996055419,0.17785585815234062,0.09623444145320126,lesion,4.4710813819065815e-67,908350.5,7.824392418336518e-67,0.09623444145320126,True,True
HMGA1,HMGA1(+),FULL_DATA,sample_id,True,2322,888,1434,0.04867390953150535,0.033240848714898984,0.015433060816606364,lesion,4.662581558216919e-20,780384.0,4.662581558216919e-20,0.015433060816606364,True,True
SATB2,SATB2(+),FULL_DATA,sample_id,True,2322,888,1434,0.12179235631163728,0.19232492368133164,-0.07053256736969436,internal_control,1.0567786168620208e-100,302221.0,3.698725159017073e-100,-0.07053256736969436,True,True
RARB,RARB(+),FULL_DATA,sample_id,True,2322,888,1434,0.12613152655949061,0.17223613654916672,-0.04610460998967611,internal_control,5.619653643887133e-83,333711.5,1.3112525169069976e-82,-0.04610460998967611,True,True
NFE2L2,NFE2L2(+),GSM8299712,sample_id,True,1799,888,911,0.12973257345944508,0.12341357687841917,0.006318996581025915,lesion,5.499104579031139e-10,472827.5,6.415622008869662e-10,0.008898228793965457,True,True
THRB,THRB(+),GSM8299712,sample_id,True,1799,888,911,0.3751950042725012,0.5323037980891085,-0.15710879381660736,internal_control,4.0245368963596577e-48,243925.0,2.8171758274517603e-47,-0.24515406903465886,True,True
BHLHE40,BHLHE40(+),GSM8299712,sample_id,True,1799,888,911,0.12115522164029179,0.10931722332777621,0.011837998312515571,lesion,3.0559778107519266e-11,477671.0,4.278368935052697e-11,0.02021549666665376,True,True
SOX2,SOX2(+),GSM8299712,sample_id,True,1799,888,911,0.2740902996055419,0.22062424662444766,0.05346605298109422,lesion,5.69071666678669e-19,502500.5,9.958754166876707e-19,0.09623444145320126,True,True
HMGA1,HMGA1(+),GSM8299712,sample_id,True,1799,888,911,0.04867390953150535,0.037437182435248066,0.011236727096257282,lesion,1.1672423963681502e-08,467216.5,1.1672423963681502e-08,0.015433060816606364,True,True
SATB2,SATB2(+),GSM8299712,sample_id,True,1799,888,911,0.12179235631163728,0.1674468910605795,-0.045654534748942224,internal_control,1.9642612729801513e-32,273863.5,6.874914455430529e-32,-0.07053256736969436,True,True
RARB,RARB(+),GSM8299712,sample_id,True,1799,888,911,0.12613152655949061,0.15724108884628335,-0.031109562286792736,internal_control,1.1785090388601274e-28,282148.0,2.749854424006964e-28,-0.04610460998967611,True,True
NFE2L2,NFE2L2(+),GSM8299716,sample_id,True,1896,462,1434,0.13651419109241528,0.12083434466547963,0.01567984642693565,lesion,3.870496762103052e-47,478827.0,4.515579555786894e-47,0.008898228793965457,True,True
THRB,THRB(+),GSM8299716,sample_id,True,1896,462,1434,0.37181617630831093,0.62034907330716,-0.24853289699884912,internal_control,8.5580291004069485e-75,143993.0,5.990620370284864e-74,-0.24515406903465886,True,True
BHLHE40,BHLHE40(+),GSM8299716,sample_id,True,1896,462,1434,0.1318278850592447,0.10093972497363803,0.030888160085606672,lesion,1.677621798143879e-58,496284.5,2.935838146751788e-58,0.02021549666665376,True,True
SOX2,SOX2(+),GSM8299716,sample_id,True,1896,462,1434,0.2930433136769833,0.17785585815234062,0.11518745552464266,lesion,1.6589936266353454e-58,496280.5,2.935838146751788e-58,0.09623444145320126,True,True
HMGA1,HMGA1(+),GSM8299716,sample_id,True,1896,462,1434,0.03473452317146171,0.033240848714898984,0.0014936744565627255,lesion,0.2566857874181826,342827.0,0.2566857874181826,0.015433060816606364,True,False
