tf,retained_count,total_combinations,retention_frequency,median_rank_when_retained,best_rank,worst_rank,regulon_effect_group,expr_higher_group,regulon_fdr,expr_wilcoxon_fdr,log2fc_lesion_vs_internal_control,positive_fraction_in_higher_group,support_sort_score
SATB2,81,81,1.0,2.0,1.0,2.0,internal_control,internal_control,5.548087738525609e-99,2.342053487924074e-31,-0.7058935339628609,0.4107391910739191,34.818760412936605
RARB,81,81,1.0,3.0,2.0,3.0,internal_control,internal_control,1.9668787753604963e-81,9.597953836114382e-12,-0.6325145174570053,0.2315202231520223,28.614861967885023
SOX2,81,81,1.0,4.0,3.0,4.0,lesion,lesion,9.389270902003821e-66,6.358243030105812e-06,0.6693425125580267,0.2522522522522522,23.14429917547441
BHLHE40,81,81,1.0,5.0,4.0,6.0,lesion,lesion,1.2760362542900071e-34,1.529949104785675e-07,1.1363433892502643,0.1587837837837837,12.392424888240859
NFE2L2,81,81,1.0,6.0,5.0,8.0,lesion,lesion,1.6378667723003972e-19,4.488026735548041e-06,0.6845241377063578,0.3626126126126126,6.987108470383587
THRB,54,81,0.6666666666666666,1.0,1.0,1.0,internal_control,internal_control,4.053395110306913e-114,7.47524063251269e-21,-0.3614128972332711,0.6415620641562064,40.04207029812129
HMGA1,54,81,0.6666666666666666,7.0,6.0,9.0,lesion,lesion,1.6881760814233672e-19,0.0020079019324663,0.7445295603179917,0.072072072072072,6.94540355055798
ATF7,9,81,0.1111111111111111,6.0,6.0,7.0,lesion,lesion,7.059258557174854e-21,0.957350567735444,0.0723226656345507,0.2871621621621621,7.235679684271952
CEBPD,3,81,0.037037037037037035,5.0,5.0,5.0,lesion,lesion,1.0129790988328588e-48,0.9247351769699248,0.0211323518984938,0.0427927927927927,16.91399471214932
TCF4,0,81,0.0,,,,internal_control,lesion,2.5162199249417195e-49,0.0564812833706176,0.115325938290752,0.7612612612612613,17.20235432169234
NR2F2,0,81,0.0,,,,internal_control,lesion,2.7260446537151666e-49,0.6962069302383829,0.3910689545084058,0.0349099099099099,17.141419578143193
