combo_id,regulon_fdr_threshold,expr_abs_log2fc_threshold,positive_fraction_threshold,rule,n_retained,shortlist_members,core4_retained
1,0.01,0.0,0.0,regulon_significant_plus_direction,9,THRB;SATB2;RARB;SOX2;CEBPD;BHLHE40;ATF7;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
2,0.01,0.0,0.0,regulon_significant_plus_expression_significant,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
3,0.01,0.0,0.0,regulon_significant_plus_expression_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
4,0.01,0.0,0.05,regulon_significant_plus_direction,8,THRB;SATB2;RARB;SOX2;BHLHE40;ATF7;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
5,0.01,0.0,0.05,regulon_significant_plus_expression_significant,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
6,0.01,0.0,0.05,regulon_significant_plus_expression_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
7,0.01,0.0,0.1,regulon_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;ATF7;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
8,0.01,0.0,0.1,regulon_significant_plus_expression_significant,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
9,0.01,0.0,0.1,regulon_significant_plus_expression_significant_plus_direction,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
10,0.01,0.25,0.0,regulon_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
11,0.01,0.25,0.0,regulon_significant_plus_expression_significant,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
12,0.01,0.25,0.0,regulon_significant_plus_expression_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
13,0.01,0.25,0.05,regulon_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
14,0.01,0.25,0.05,regulon_significant_plus_expression_significant,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
15,0.01,0.25,0.05,regulon_significant_plus_expression_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
16,0.01,0.25,0.1,regulon_significant_plus_direction,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
17,0.01,0.25,0.1,regulon_significant_plus_expression_significant,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
18,0.01,0.25,0.1,regulon_significant_plus_expression_significant_plus_direction,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
19,0.01,0.5,0.0,regulon_significant_plus_direction,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
20,0.01,0.5,0.0,regulon_significant_plus_expression_significant,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
21,0.01,0.5,0.0,regulon_significant_plus_expression_significant_plus_direction,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
22,0.01,0.5,0.05,regulon_significant_plus_direction,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
