combo_id,tf,retained,rank_in_combo,regulon_fdr_threshold,expr_abs_log2fc_threshold,positive_fraction_threshold,rule,regulon_effect_group,expr_higher_group,regulon_fdr,expr_wilcoxon_fdr,log2fc_lesion_vs_internal_control,positive_fraction_in_higher_group,support_sort_score
1,SATB2,True,2.0,0.01,0.0,0.0,regulon_significant_plus_direction,internal_control,internal_control,5.548087738525609e-99,2.342053487924074e-31,-0.7058935339628609,0.4107391910739191,34.818760412936605
1,THRB,True,1.0,0.01,0.0,0.0,regulon_significant_plus_direction,internal_control,internal_control,4.053395110306913e-114,7.47524063251269e-21,-0.3614128972332711,0.6415620641562064,40.04207029812129
1,RARB,True,3.0,0.01,0.0,0.0,regulon_significant_plus_direction,internal_control,internal_control,1.9668787753604963e-81,9.597953836114382e-12,-0.6325145174570053,0.2315202231520223,28.614861967885023
1,BHLHE40,True,6.0,0.01,0.0,0.0,regulon_significant_plus_direction,lesion,lesion,1.2760362542900071e-34,1.529949104785675e-07,1.1363433892502643,0.1587837837837837,12.392424888240859
1,NFE2L2,True,8.0,0.01,0.0,0.0,regulon_significant_plus_direction,lesion,lesion,1.6378667723003972e-19,4.488026735548041e-06,0.6845241377063578,0.3626126126126126,6.987108470383587
1,SOX2,True,4.0,0.01,0.0,0.0,regulon_significant_plus_direction,lesion,lesion,9.389270902003821e-66,6.358243030105812e-06,0.6693425125580267,0.2522522522522522,23.14429917547441
1,HMGA1,True,9.0,0.01,0.0,0.0,regulon_significant_plus_direction,lesion,lesion,1.6881760814233672e-19,0.0020079019324663,0.7445295603179917,0.072072072072072,6.94540355055798
1,TCF4,False,,0.01,0.0,0.0,regulon_significant_plus_direction,internal_control,lesion,2.5162199249417195e-49,0.0564812833706176,0.115325938290752,0.7612612612612613,17.20235432169234
1,NR2F2,False,,0.01,0.0,0.0,regulon_significant_plus_direction,internal_control,lesion,2.7260446537151666e-49,0.6962069302383829,0.3910689545084058,0.0349099099099099,17.141419578143193
1,CEBPD,True,5.0,0.01,0.0,0.0,regulon_significant_plus_direction,lesion,lesion,1.0129790988328588e-48,0.9247351769699248,0.0211323518984938,0.0427927927927927,16.91399471214932
1,ATF7,True,7.0,0.01,0.0,0.0,regulon_significant_plus_direction,lesion,lesion,7.059258557174854e-21,0.957350567735444,0.0723226656345507,0.2871621621621621,7.235679684271952
2,SATB2,True,2.0,0.01,0.0,0.0,regulon_significant_plus_expression_significant,internal_control,internal_control,5.548087738525609e-99,2.342053487924074e-31,-0.7058935339628609,0.4107391910739191,34.818760412936605
