tf,expected_higher_group_main,level,level_id,n_cells,mean_norm_expr,median_norm_expr,positive_fraction,mean_raw_expr
NFE2L2,lesion,sample,12814,1410,0.23025121443603405,0.0,0.09432624113475177,0.1049645390070922
NFE2L2,lesion,sample,13059,413,0.2511482033442167,0.0,0.08958837772397095,0.09200968523002422
NFE2L2,lesion,sample,14431,6912,0.5149831178054991,0.0,0.2994791666666667,0.4292534722222222
NFE2L2,lesion,sample,19619,1674,0.37760209859268784,0.0,0.20489844683393071,0.2586618876941458
NFE2L2,lesion,sample,20188,990,0.4032432326406188,0.0,0.3606060606060606,0.6848484848484848
NFE2L2,lesion,donor,12814,1410,0.23025121443603405,0.0,0.09432624113475177,0.1049645390070922
NFE2L2,lesion,donor,13059,413,0.2511482033442167,0.0,0.08958837772397095,0.09200968523002422
NFE2L2,lesion,donor,14431,6912,0.5149831178054991,0.0,0.2994791666666667,0.4292534722222222
NFE2L2,lesion,donor,19619,1674,0.37760209859268784,0.0,0.20489844683393071,0.2586618876941458
NFE2L2,lesion,donor,20188,990,0.4032432326406188,0.0,0.3606060606060606,0.6848484848484848
THRB,internal_control,sample,12814,1410,0.0,0.0,0.0,0.0
THRB,internal_control,sample,13059,413,0.007119322477003028,0.0,0.002421307506053269,0.002421307506053269
THRB,internal_control,sample,14431,6912,0.010192037890394409,0.0,0.007523148148148148,0.007957175925925927
THRB,internal_control,sample,19619,1674,0.017945255049139033,0.0,0.01015531660692951,0.01015531660692951
THRB,internal_control,sample,20188,990,0.05702136054376608,0.0,0.06262626262626263,0.07474747474747474
THRB,internal_control,donor,12814,1410,0.0,0.0,0.0,0.0
THRB,internal_control,donor,13059,413,0.007119322477003028,0.0,0.002421307506053269,0.002421307506053269
THRB,internal_control,donor,14431,6912,0.010192037890394409,0.0,0.007523148148148148,0.007957175925925927
THRB,internal_control,donor,19619,1674,0.017945255049139033,0.0,0.01015531660692951,0.01015531660692951
THRB,internal_control,donor,20188,990,0.05702136054376608,0.0,0.06262626262626263,0.07474747474747474
BHLHE40,lesion,sample,12814,1410,0.016546985379499907,0.0,0.0070921985815602835,0.007801418439716312
BHLHE40,lesion,sample,13059,413,0.018375628323316406,0.0,0.007263922518159807,0.007263922518159807
BHLHE40,lesion,sample,14431,6912,0.14112970819285378,0.0,0.09519675925925926,0.1300636574074074
BHLHE40,lesion,sample,19619,1674,0.03540421256767488,0.0,0.02031063321385902,0.021505376344086023
BHLHE40,lesion,sample,20188,990,0.06350747757167095,0.0,0.06868686868686869,0.10808080808080808
BHLHE40,lesion,donor,12814,1410,0.016546985379499907,0.0,0.0070921985815602835,0.007801418439716312
BHLHE40,lesion,donor,13059,413,0.018375628323316406,0.0,0.007263922518159807,0.007263922518159807
BHLHE40,lesion,donor,14431,6912,0.14112970819285378,0.0,0.09519675925925926,0.1300636574074074
BHLHE40,lesion,donor,19619,1674,0.03540421256767488,0.0,0.02031063321385902,0.021505376344086023
BHLHE40,lesion,donor,20188,990,0.06350747757167095,0.0,0.06868686868686869,0.10808080808080808
SOX2,lesion,sample,12814,1410,0.2718461129955165,0.0,0.10780141843971631,0.14326241134751774
SOX2,lesion,sample,13059,413,0.030971776905818704,0.0,0.012106537530266344,0.012106537530266344
SOX2,lesion,sample,14431,6912,0.11177888309023874,0.0,0.055266203703703706,0.09215856481481481
SOX2,lesion,sample,19619,1674,0.14669663309851097,0.0,0.06332138590203107,0.1260454002389486
SOX2,lesion,sample,20188,990,0.16622543289710576,0.0,0.10303030303030303,0.25252525252525254
SOX2,lesion,donor,12814,1410,0.2718461129955165,0.0,0.10780141843971631,0.14326241134751774
SOX2,lesion,donor,13059,413,0.030971776905818704,0.0,0.012106537530266344,0.012106537530266344
SOX2,lesion,donor,14431,6912,0.11177888309023874,0.0,0.055266203703703706,0.09215856481481481
SOX2,lesion,donor,19619,1674,0.14669663309851097,0.0,0.06332138590203107,0.1260454002389486
SOX2,lesion,donor,20188,990,0.16622543289710576,0.0,0.10303030303030303,0.25252525252525254
