tf,celltype_or_cluster,expected_higher_group_main,main_regulon,n_lesion,n_internal_control,mean_log1p_norm_expr_lesion,mean_log1p_norm_expr_internal_control,positive_fraction_lesion,positive_fraction_internal_control,log2fc_lesion_vs_internal_control,mannwhitney_u,p_value,direction_consistent_with_main,fdr_bh
NFE2L2,cluster_2,lesion,NFE2L2(+),2038,2239,0.42249046449623084,0.2891616878594951,0.4234543670264966,0.21572130415364002,0.24350192340386256,2669791.0,1.4480440047836078e-31,True,4.054523213394102e-30
NFE2L2,cluster_4,lesion,NFE2L2(+),1287,2523,0.21789776426760746,0.18105405276306716,0.3317793317793318,0.17082837891399127,-0.11347570185928528,1834359.0,2.806170083067795e-19,False,2.244936066454236e-18
NFE2L2,cluster_3,lesion,NFE2L2(+),181,3681,0.0727066446537206,0.13214310015594594,0.03867403314917127,0.12795436022819887,0.20172778406306316,304323.5,0.000585147279140226,True,0.0014563665614156735
NFE2L2,cluster_16,lesion,NFE2L2(+),529,1229,0.2925276529089387,0.1889008459600334,0.5293005671077504,0.22213181448331978,0.303105290650022,407852.0,7.143998739829251e-25,True,8.009121625529199e-24
NFE2L2,cluster_10,lesion,NFE2L2(+),805,1646,0.4316025944776158,0.38162561880020524,0.20248447204968945,0.201093560145808,0.43261410047512605,671473.0,0.4372058388807649,True,0.5564437949391553
NFE2L2,cluster_18,lesion,NFE2L2(+),59,1540,0.40133810480305304,0.282069216154137,0.5423728813559322,0.34415584415584416,0.40887591994640343,53326.5,0.0078094111437380575,True,0.016820270155743507
NFE2L2,cluster_26,lesion,NFE2L2(+),291,712,0.2945199023005309,0.19755289953856814,0.48109965635738833,0.22191011235955055,0.28835192040463564,125851.0,3.6935274649616526e-11,True,1.5910579849065578e-10
NFE2L2,cluster_28,lesion,NFE2L2(+),405,373,0.3034979713682177,0.1728124329795496,0.6296296296296297,0.3163538873994638,0.7651647232764697,96965.0,1.5299132925090906e-13,True,8.159537560048482e-13
NFE2L2,cluster_9,lesion,NFE2L2(+),57,2739,0.3778089263542409,0.4933463362756489,0.40350877192982454,0.38809784592917124,-0.6072327899384765,74236.0,0.47028433708706674,False,0.5788114917994668
NFE2L2,cluster_5,lesion,NFE2L2(+),1426,2039,0.19431045789439408,0.15242444678100028,0.43548387096774194,0.2030407062285434,0.03120254656198559,1727272.0,2.0658294888835637e-31,True,4.6274580550991826e-30
NFE2L2,cluster_29,lesion,NFE2L2(+),132,446,0.7444836104788319,0.46686591043581405,0.75,0.45739910313901344,0.5919459961690204,37873.0,1.163643230309459e-07,True,4.072751306083107e-07
NFE2L2,cluster_14,lesion,NFE2L2(+),685,1438,0.24277569190755208,0.20155004306484273,0.4,0.19193324061196107,-0.15112709515998143,571946.0,5.71149427538044e-15,False,3.463555651516054e-14
NFE2L2,cluster_8,lesion,NFE2L2(+),64,3136,0.4860878416440108,0.37065158823045224,0.296875,0.20982142857142858,0.3377545538602846,108048.5,0.14075305361711812,True,0.22203298598756663
NFE2L2,cluster_31,lesion,NFE2L2(+),90,206,0.5380367869470284,0.43932714933842154,0.4666666666666667,0.32524271844660196,0.23030706858477934,10203.0,0.11142322359498172,True,0.1862597170542978
NFE2L2,cluster_30,lesion,NFE2L2(+),226,273,0.5737823917670265,0.38655869953326183,0.4026548672566372,0.2087912087912088,0.36093491703240665,35721.0,0.00016797396065308,True,0.0004479305617415467
NFE2L2,cluster_22,lesion,NFE2L2(+),1372,37,0.2333749723852635,0.22285672271666207,0.18440233236151604,0.16216216216216217,-0.14794655983533803,25816.5,0.7924980385053411,False,0.8591165208273471
NFE2L2,cluster_0,lesion,NFE2L2(+),2105,2721,0.1984685521135751,0.1530593830736706,0.12969121140142517,0.08011760382212423,0.1299087035870336,2996408.0,1.4094729796546506e-07,True,4.783665870343057e-07
NFE2L2,cluster_32,lesion,NFE2L2(+),84,128,0.6748702033183517,0.4357097016210233,0.6428571428571429,0.3515625,0.5430789124293987,6584.0,0.0026950554440976692,True,0.006160126729366101
NFE2L2,cluster_27,lesion,NFE2L2(+),372,423,0.2849142568871186,0.20355095180443394,0.6102150537634409,0.2789598108747045,0.23624514888251327,98568.5,1.0158005272856558e-11,True,4.672504475070198e-11
NFE2L2,cluster_13,lesion,NFE2L2(+),2157,167,0.7230440674338422,0.40637816914549135,0.5229485396383866,0.30538922155688625,0.7966865325534834,222301.5,7.348282996349885e-08,True,2.65486353416512e-07
NFE2L2,cluster_15,lesion,NFE2L2(+),747,1342,0.21523843325859096,0.15737915579334444,0.46586345381526106,0.349478390461997,0.4365513220580241,561931.5,1.7871180650214842e-07,True,5.886977155364889e-07
NFE2L2,cluster_19,lesion,NFE2L2(+),727,721,0.7192090982695302,0.4886155228141411,0.6519944979367263,0.30513176144244103,0.10667656177200209,324731.0,1.942904850341724e-17,True,1.3600333952392067e-16
NFE2L2,cluster_25,lesion,NFE2L2(+),529,607,0.696928699379871,0.48659076655411326,0.4820415879017013,0.25370675453047775,0.0752908255136555,188012.0,6.8122185985242215e-09,True,2.5432282767823763e-08
NFE2L2,cluster_24,lesion,NFE2L2(+),1183,87,0.5610630666120537,0.510869253531202,0.3558748943364328,0.2988505747126437,0.0817594263628495,53506.0,0.4678410256500849,True,0.5788114917994668
NFE2L2,cluster_12,lesion,NFE2L2(+),1692,659,0.6871717455003761,0.5231770613860242,0.6708037825059102,0.4142640364188164,0.1406279134898588,654749.5,1.0429697488995977e-11,True,4.672504475070198e-11
NFE2L2,cluster_11,lesion,NFE2L2(+),1765,653,0.7223528686529952,0.8137025008583556,0.48441926345609065,0.45788667687595713,-0.4496225682257318,549618.0,0.05892383489132468,False,0.10311671105981819
NFE2L2,cluster_23,lesion,NFE2L2(+),1261,49,0.5398718175800381,0.6598142544118945,0.39492466296590006,0.6122448979591837,0.04215558684090369,27317.0,0.12075117401860756,True,0.19600190565339198
NFE2L2,cluster_20,lesion,NFE2L2(+),1415,31,0.2692275701211877,0.16653219387254337,0.5773851590106007,0.3870967741935484,0.7983446367412333,26227.0,0.05188251794079416,True,0.09372325821562816
THRB,cluster_2,internal_control,THRB(+),2038,2239,1.4645283801376883,1.3090524933464471,0.8464180569185475,0.7007592675301474,0.06515252210927681,2423284.5,0.0004064486890570855,False,0.0010345966630543994
THRB,cluster_4,internal_control,THRB(+),1287,2523,1.861558804926538,1.7198944182438076,0.9362859362859363,0.8644470868014269,0.14180137636713488,1747034.5,0.0001191006657294327,False,0.0003253481600413771
THRB,cluster_3,internal_control,THRB(+),181,3681,0.6345020221244743,1.5826467075631434,0.27071823204419887,0.8187992393371366,-0.5983491367327683,172435.5,3.0118320976578835e-28,True,4.216564936721037e-27
THRB,cluster_16,internal_control,THRB(+),529,1229,1.603990607355946,1.3163630044879593,0.9640831758034026,0.7941415785191213,0.2704846799782417,386463.0,2.9678546805492553e-10,False,1.1462059455914366e-09
THRB,cluster_10,internal_control,THRB(+),805,1646,0.2620532589109539,0.6672824976789007,0.12298136645962733,0.32563791008505466,-1.2891540890833173,531993.0,7.151001451365356e-25,True,8.009121625529199e-24
THRB,cluster_18,internal_control,THRB(+),59,1540,1.636786087776995,1.6567111904868645,0.9322033898305084,0.9188311688311688,-0.04913858916382865,43137.0,0.510010500073165,True,0.6208823479151573
THRB,cluster_26,internal_control,THRB(+),291,712,2.0693943765277343,1.624502070303829,0.9725085910652921,0.8455056179775281,0.5086885589404168,136116.0,5.413667348160408e-15,False,3.463555651516054e-14
THRB,cluster_28,internal_control,THRB(+),405,373,1.9379317645771952,1.926059810057755,0.9851851851851852,0.9731903485254692,0.03182736263484994,75229.5,0.9230458041928402,False,0.9313615321585414
THRB,cluster_9,internal_control,THRB(+),57,2739,0.9832948890789301,0.9513757599232336,0.5789473684210527,0.6049653158086893,0.21503416014263038,79629.5,0.7884817018184319,False,0.8591165208273471
THRB,cluster_5,internal_control,THRB(+),1426,2039,1.9549066588994204,2.045864326461699,0.9894810659186536,0.9455615497793036,-0.2457297377020447,1203529.5,5.7945520846933266e-18,True,4.32659888990435e-17
THRB,cluster_29,internal_control,THRB(+),132,446,1.0561257761825014,1.1899052096805844,0.8106060606060606,0.7668161434977578,-0.4247267410246094,25706.0,0.026065779278305275,True,0.0503339186063826
THRB,cluster_14,internal_control,THRB(+),685,1438,1.9614684316501745,1.878151124005908,0.9576642335766423,0.8998609179415855,0.016144139126597325,508357.0,0.23011655857206026,False,0.3391191389482993
THRB,cluster_8,internal_control,THRB(+),64,3136,0.41749641183329167,0.5502596839694411,0.21875,0.2710459183673469,-0.36640845683514073,94136.0,0.2771455109413081,True,0.3880037153178314
THRB,cluster_31,internal_control,THRB(+),90,206,0.7376224002364759,0.661980514752122,0.45555555555555555,0.441747572815534,0.26325073253562453,9762.5,0.42529601291185226,False,0.5475075108750281
THRB,cluster_30,internal_control,THRB(+),226,273,0.5958477164590644,0.6002258275992199,0.39823008849557523,0.32234432234432236,-0.18257725171626127,31659.0,0.5556034500242826,True,0.6619956000289324
THRB,cluster_22,internal_control,THRB(+),1372,37,1.381583737782546,0.9975325111018757,0.7521865889212828,0.4594594594594595,0.2113853889194093,29195.0,0.11543663331823285,False,0.1901309254653247
THRB,cluster_0,internal_control,THRB(+),2105,2721,0.8736864733562831,0.9604450847613023,0.4479809976247031,0.4189636163175303,-0.3766310028054907,2750727.0,0.009096759020732316,True,0.019223339817396594
THRB,cluster_32,internal_control,THRB(+),84,128,1.1288993212019942,1.0199767052311515,0.7857142857142857,0.6796875,0.1534760564880777,5755.0,0.3810863530756107,False,0.5081151374341475
THRB,cluster_27,internal_control,THRB(+),372,423,1.6233153096457393,1.5646115257385982,0.9838709677419355,0.9148936170212766,-0.04639509104506089,80414.5,0.5910114187437302,True,0.6967713568347135
THRB,cluster_13,internal_control,THRB(+),2157,167,0.8848510002523284,0.9237964394099029,0.6119610570236439,0.5568862275449101,-0.2317053720944713,173125.5,0.3885214888019318,True,0.5119341970096043
THRB,cluster_15,internal_control,THRB(+),747,1342,1.781172195409416,2.013232172248089,0.9611780455153949,0.9761549925484352,-0.3477789661065593,369399.5,1.911398010340688e-23,True,1.7839714763179754e-22
THRB,cluster_19,internal_control,THRB(+),727,721,1.05304423488873,0.8943005015569698,0.7799174690508941,0.4646324549237171,-0.2955089958314713,290999.5,0.00018689980559943883,True,0.0004868087959799337
THRB,cluster_25,internal_control,THRB(+),529,607,0.8321249761343058,0.8032401676784104,0.5614366729678639,0.3673805601317957,-0.5406269577712279,170179.5,0.056937985431428535,True,0.1012230852114285
THRB,cluster_24,internal_control,THRB(+),1183,87,0.22594323920804918,0.4016537677194456,0.1445477599323753,0.25287356321839083,-0.7075391597748457,45770.0,0.005795529080959718,True,0.012981985141349768
THRB,cluster_12,internal_control,THRB(+),1692,659,1.0005121471279792,0.8964470406616503,0.774822695035461,0.5796661608497724,-0.10655669218403813,601953.0,0.002369711246712974,True,0.005529326242330272
THRB,cluster_11,internal_control,THRB(+),1765,653,0.3243663996132773,0.5934751819798536,0.2470254957507082,0.33996937212863704,-1.393016917491563,500726.5,2.562043896683534e-10,True,1.0248175586734135e-09
THRB,cluster_23,internal_control,THRB(+),1261,49,0.5738191393347091,0.7867675551638477,0.4076130055511499,0.6122448979591837,-0.3503033078734853,25589.5,0.022459024824533956,True,0.04491804964906791
THRB,cluster_20,internal_control,THRB(+),1415,31,1.7540673357018493,1.6596264443964175,0.9738515901060071,0.967741935483871,0.20009717817817677,24733.0,0.22342438306168266,False,0.33364707870544613
BHLHE40,cluster_2,lesion,BHLHE40(+),2038,2239,0.022434445994572144,0.04062581455284018,0.02649656526005888,0.026797677534613668,-1.5653677305580793,2279779.0,0.8756163203601841,False,0.9155898802098231
