tf,regulon,cluster,expected_higher_group_main,n_lesion,n_internal_control,mean_auc_lesion,mean_auc_internal_control,mean_auc_diff_lesion_minus_internal_control,mannwhitney_u,p_value,direction_consistent_with_main,fdr_bh
NFE2L2,NFE2L2(+),cluster_2,lesion,2038,2239,0.0177365467004251,0.018440705188727008,-0.0007041584883019092,1876776.5,1.0579666335568242e-23,False,6.582903497686907e-23
NFE2L2,NFE2L2(+),cluster_4,lesion,1287,2523,0.01481894812581588,0.01548230803536138,-0.0006633599095455002,1366592.5,1.2222357532917504e-15,False,4.7203587713336564e-15
NFE2L2,NFE2L2(+),cluster_3,lesion,181,3681,0.019337747666537217,0.01540563743081328,0.003932110235723936,552305.0,1.2222380033967386e-50,True,1.5210072931159413e-49
NFE2L2,NFE2L2(+),cluster_16,lesion,529,1229,0.01560628198595521,0.016597051989905152,-0.000990770003949943,241763.5,1.4127779518319908e-17,False,7.192324118417408e-17
NFE2L2,NFE2L2(+),cluster_10,lesion,805,1646,0.0262639139229228,0.02507596780466827,0.00118794611825453,802724.5,1.5785227429256356e-17,True,7.68671944381179e-17
NFE2L2,NFE2L2(+),cluster_18,lesion,59,1540,0.015336549567916552,0.015144855805832335,0.00019169376208421664,48743.0,0.34122711935094474,True,0.4065684826309129
NFE2L2,NFE2L2(+),cluster_26,lesion,291,712,0.016100317995604487,0.0174359326050852,-0.0013356146094807113,68323.0,2.4083036313394733e-17,False,1.06603457107876e-16
NFE2L2,NFE2L2(+),cluster_28,lesion,405,373,0.014425510155738149,0.013570323982771106,0.0008551861729670426,100055.0,4.827568201529162e-15,True,1.6896488705352068e-14
NFE2L2,NFE2L2(+),cluster_9,lesion,57,2739,0.016985529856134263,0.018059003248670165,-0.0010734733925359015,63594.0,0.016470744006050357,False,0.024272675377337367
NFE2L2,NFE2L2(+),cluster_5,lesion,1426,2039,0.012880602048090377,0.012738888225844494,0.0001417138222458824,1584765.0,6.205501023278413e-06,True,1.447950238764963e-05
NFE2L2,NFE2L2(+),cluster_29,lesion,132,446,0.016422161271307707,0.016259388290249657,0.0001627729810580493,30389.5,0.5717597272763102,True,0.6217193150965703
NFE2L2,NFE2L2(+),cluster_14,lesion,685,1438,0.01535010320590273,0.016134310165321165,-0.0007842069594184362,388279.0,2.9131130452998914e-15,False,1.0524795518502834e-14
NFE2L2,NFE2L2(+),cluster_8,lesion,64,3136,0.02260218175201795,0.021809059818846108,0.0007931219331718427,116137.5,0.030974362476060488,True,0.0428287481150466
NFE2L2,NFE2L2(+),cluster_31,lesion,90,206,0.022209724611471283,0.02222301447510244,-1.3289863631155835e-05,9234.5,0.958790986643465,False,0.958790986643465
NFE2L2,NFE2L2(+),cluster_30,lesion,226,273,0.02399316814627704,0.023212110548355036,0.0007810575979220052,35020.0,0.009290115420906027,True,0.014253327769061304
NFE2L2,NFE2L2(+),cluster_22,lesion,1372,37,0.015832443111651686,0.01718828793064596,-0.0013558448189942736,17770.5,0.0018301609971298862,False,0.003474203926755038
NFE2L2,NFE2L2(+),cluster_0,lesion,2105,2721,0.019169120700098047,0.018819704534402876,0.0003494161656951711,3004376.0,0.00341548155654932,True,0.006169902166669739
NFE2L2,NFE2L2(+),cluster_32,lesion,84,128,0.018406145043699584,0.018949215131665954,-0.00054307008796637,4677.0,0.10980371943030016,False,0.14468254795521904
NFE2L2,NFE2L2(+),cluster_27,lesion,372,423,0.015144045042622258,0.015645475786700305,-0.0005014307440780463,66110.5,0.00010017462585788985,False,0.0002077695943719197
NFE2L2,NFE2L2(+),cluster_13,lesion,2157,167,0.019661666988436896,0.01922395780095223,0.0004377091874846646,199222.5,0.02214553636992641,True,0.03179871889015074
NFE2L2,NFE2L2(+),cluster_15,lesion,747,1342,0.013726291518683747,0.012629352243367642,0.0010969392753161049,674961.5,1.7368250472022588e-39,True,1.6210367107221083e-38
NFE2L2,NFE2L2(+),cluster_19,lesion,727,721,0.016491173272946736,0.017571771228446467,-0.0010805979554997305,208418.5,1.5234047184121068e-11,False,5.018274366533999e-11
NFE2L2,NFE2L2(+),cluster_25,lesion,529,607,0.02315783786136511,0.023419594824528482,-0.00026175696316337385,156098.5,0.4195315753306955,False,0.4844075921344113
NFE2L2,NFE2L2(+),cluster_24,lesion,1183,87,0.022383282376564152,0.021409700072552,0.0009735823040121529,63672.5,0.00021665559814916635,True,0.00042570924548608125
NFE2L2,NFE2L2(+),cluster_12,lesion,1692,659,0.017612246219511803,0.017000086143488496,0.0006121600760233062,639197.5,3.283419323127623e-08,True,9.193574104757344e-08
NFE2L2,NFE2L2(+),cluster_11,lesion,1765,653,0.0295074525204292,0.027945450208836476,0.0015620023115927237,771390.5,1.6101177968551852e-37,True,1.3871784095983134e-36
NFE2L2,NFE2L2(+),cluster_23,lesion,1261,49,0.0184255487006128,0.01879457618696541,-0.00036902748635260843,28499.5,0.3567095927126541,False,0.4205418356191291
NFE2L2,NFE2L2(+),cluster_20,lesion,1415,31,0.014314203806079635,0.012872064780784271,0.0014421390252953633,33939.0,1.7803581135183467e-07,True,4.6372118305594147e-07
THRB,THRB(+),cluster_2,internal_control,2038,2239,0.35731441296297267,0.3424107878564962,0.01490362510647647,2648474.5,9.199083276701946e-20,False,5.151486634953089e-19
THRB,THRB(+),cluster_4,internal_control,1287,2523,0.47957845284048495,0.45401345058615805,0.025565002254326896,2000553.0,7.900079198223371e-32,False,5.898725801340118e-31
THRB,THRB(+),cluster_3,internal_control,181,3681,0.245871125949124,0.4807066784630426,-0.2348355525139186,50537.5,5.7516207902050726e-83,True,2.1472717616765604e-81
THRB,THRB(+),cluster_16,internal_control,529,1229,0.4580431244503301,0.42112553283758947,0.03691759161274061,439799.5,6.811440639149309e-32,False,5.449152511319447e-31
THRB,THRB(+),cluster_10,internal_control,805,1646,0.06890977734967504,0.15722011769470848,-0.08831034034503343,298952.0,3.3717029757399387e-108,True,1.8881536664143656e-106
THRB,THRB(+),cluster_18,internal_control,59,1540,0.4664491374361764,0.480810009954395,-0.014360872518218604,38852.5,0.05880253786774032,True,0.08031566147788921
THRB,THRB(+),cluster_26,internal_control,291,712,0.5059387078792777,0.4579027218650483,0.048035986014229426,146279.5,1.1584721521253856e-24,False,7.632287119884894e-24
THRB,THRB(+),cluster_28,internal_control,405,373,0.5165995466649062,0.5420758603221937,-0.02547631365728753,50162.0,5.401593794300168e-16,True,2.1606375177200673e-15
THRB,THRB(+),cluster_9,internal_control,57,2739,0.22832035525533972,0.1676945994966741,0.060625755758665634,96352.0,0.002428346246639243,False,0.004458602944649102
THRB,THRB(+),cluster_5,internal_control,1426,2039,0.5481483425959955,0.5497609449950563,-0.001612602399060803,1369373.5,0.003571750803861809,True,0.006349779206865438
THRB,THRB(+),cluster_29,internal_control,132,446,0.2473262032085561,0.310216381701478,-0.06289017849292186,21489.5,2.4204659615779967e-06,True,5.893308428189904e-06
THRB,THRB(+),cluster_14,internal_control,685,1438,0.471152920358588,0.44577287230482027,0.025380048053767756,619940.0,4.87570971561438e-22,False,2.8741025692042668e-21
THRB,THRB(+),cluster_8,internal_control,64,3136,0.19254122103386806,0.22713403543235475,-0.03459281439848669,66358.5,3.3835711251645445e-06,True,8.062978000392105e-06
THRB,THRB(+),cluster_31,internal_control,90,206,0.20354525648643293,0.2269266047107281,-0.023381348224295162,7708.0,0.021152149147707116,True,0.0307667623966649
THRB,THRB(+),cluster_30,internal_control,226,273,0.1207625447604625,0.16900746312511017,-0.04824491836464767,21761.0,1.4445929800455307e-08,True,4.1485747119256264e-08
THRB,THRB(+),cluster_22,internal_control,1372,37,0.4204097223304906,0.35077323312617426,0.06963648920431637,35944.0,1.5280727009065934e-05,False,3.3557675000301656e-05
THRB,THRB(+),cluster_0,internal_control,2105,2721,0.28890300235836075,0.31859223927451435,-0.029689236916153605,2457348.0,2.4747231114328356e-17,True,1.06603457107876e-16
THRB,THRB(+),cluster_32,internal_control,84,128,0.33063831593243354,0.31875278520499106,0.011885530727442473,6174.5,0.0677230447178154,False,0.09138531335416053
THRB,THRB(+),cluster_27,internal_control,372,423,0.49635826960305135,0.4906764769092679,0.005681792693783438,80534.0,0.5657170988611131,False,0.6211795595337712
THRB,THRB(+),cluster_13,internal_control,2157,167,0.2812597876002932,0.3070329928378537,-0.025773205237560493,154349.0,0.0020451409737655725,True,0.003817596484362402
THRB,THRB(+),cluster_15,internal_control,747,1342,0.5439177983472809,0.5828903570641101,-0.03897255871682914,269781.0,1.0441537934033196e-68,True,2.2719285832314514e-67
THRB,THRB(+),cluster_19,internal_control,727,721,0.18091097887197893,0.1826711267031084,-0.0017601478311294605,247712.5,0.07086116827503047,True,0.09448155770004063
THRB,THRB(+),cluster_25,internal_control,529,607,0.19097008110685412,0.18055543319619297,0.010414647910661157,165142.0,0.40531600272099166,False,0.472868669841157
THRB,THRB(+),cluster_24,internal_control,1183,87,0.18156956166005936,0.22449648615977208,-0.04292692449971272,25186.0,1.7420752881383375e-15,True,6.503747742383126e-15
THRB,THRB(+),cluster_12,internal_control,1692,659,0.13895525973122966,0.17528584064333416,-0.036330580912104504,350436.0,1.3695238695571286e-44,True,1.533866733903984e-43
THRB,THRB(+),cluster_11,internal_control,1765,653,0.03224614079471603,0.07295548039625149,-0.040709339601535464,314255.5,1.217104598159706e-68,True,2.2719285832314514e-67
THRB,THRB(+),cluster_23,internal_control,1261,49,0.11369184686346603,0.143548328422278,-0.02985648155881196,21167.5,0.00018114813128144037,True,0.0003622962625628807
THRB,THRB(+),cluster_20,internal_control,1415,31,0.5333081385461348,0.5417744810534185,-0.00846634250728373,15843.5,0.008106107197224238,True,0.012787098677311474
BHLHE40,BHLHE40(+),cluster_2,lesion,2038,2239,0.011390128084695954,0.011231287693994212,0.00015884039070174216,2327150.0,0.25809823262468445,True,0.3142065440648333
BHLHE40,BHLHE40(+),cluster_4,lesion,1287,2523,0.006490454865609078,0.006935670781232741,-0.00044521591562366337,1489482.0,2.9747635726893428e-05,False,6.286292832852951e-05
BHLHE40,BHLHE40(+),cluster_3,lesion,181,3681,0.015117803873084945,0.007510486008975823,0.0076073178641091225,571213.0,1.956644637671806e-59,True,3.1306314202748896e-58
BHLHE40,BHLHE40(+),cluster_16,lesion,529,1229,0.010881553303436944,0.010667518158065183,0.00021403514537176108,339672.0,0.1346987699497072,True,0.17542165388799077
BHLHE40,BHLHE40(+),cluster_10,lesion,805,1646,0.01527798714499477,0.012557439939328249,0.0027205472056665205,854101.0,2.466648930792373e-31,True,1.726654251554661e-30
BHLHE40,BHLHE40(+),cluster_18,lesion,59,1540,0.007120828656222424,0.007234832903282054,-0.00011400424705963058,43338.5,0.5479501480927205,False,0.6076278869939078
BHLHE40,BHLHE40(+),cluster_26,lesion,291,712,0.004215311674377729,0.004276072022271581,-6.076034789385173e-05,106793.5,0.4424947070685703,False,0.5057082366497946
BHLHE40,BHLHE40(+),cluster_28,lesion,405,373,0.0085707079171131,0.008483657434926902,8.70504821861972e-05,79239.0,0.23651136027480402,True,0.2943252483419784
BHLHE40,BHLHE40(+),cluster_9,lesion,57,2739,0.02147697503734651,0.02251605176674433,-0.0010390767293978198,70445.0,0.20674750025248867,False,0.26017662953122167
BHLHE40,BHLHE40(+),cluster_5,lesion,1426,2039,0.009532570666140458,0.008671304462205376,0.0008612662039350818,1693255.0,1.414433641356997e-16,True,5.86728029007347e-16
BHLHE40,BHLHE40(+),cluster_29,lesion,132,446,0.0206403816029484,0.01557209167338416,0.005068289929564238,43742.0,2.097701363576287e-17,True,9.789273030022672e-17
BHLHE40,BHLHE40(+),cluster_14,lesion,685,1438,0.008568760565325568,0.008194456284123257,0.00037430428120231035,528264.5,0.006775560652234664,True,0.010998011493482352
BHLHE40,BHLHE40(+),cluster_8,lesion,64,3136,0.011740710270121987,0.010930158776797386,0.0008105514933246013,110947.5,0.1475907661733848,True,0.19000190587838042
BHLHE40,BHLHE40(+),cluster_31,lesion,90,206,0.011554458613282097,0.010020248169876907,0.0015342104434051904,11203.5,0.004318511220101581,True,0.007441127025405801
BHLHE40,BHLHE40(+),cluster_30,lesion,226,273,0.012727685294056927,0.011355662939373299,0.0013720223546836285,35317.5,0.005323170021067072,True,0.008898433468052419
BHLHE40,BHLHE40(+),cluster_22,lesion,1372,37,0.011362187232535325,0.013433836963248683,-0.002071649730713358,18656.0,0.005887487060582806,False,0.009697037511548151
BHLHE40,BHLHE40(+),cluster_0,lesion,2105,2721,0.012670204370637464,0.01216861123469848,0.0005015931359389839,3044700.0,0.00016467886663398107,True,0.000335346055691016
BHLHE40,BHLHE40(+),cluster_32,lesion,84,128,0.009839833369245089,0.009787853078294209,5.198029095087979e-05,5427.5,0.9070485557602389,True,0.9235403476831523
BHLHE40,BHLHE40(+),cluster_27,lesion,372,423,0.009192789078937039,0.008708113839528058,0.00048467523940898087,89068.0,0.0012975184510670302,True,0.0025055528710259895
BHLHE40,BHLHE40(+),cluster_13,lesion,2157,167,0.010697920621834509,0.010103199606545809,0.0005947210152887003,201944.0,0.008953714918244758,True,0.01392800098393629
BHLHE40,BHLHE40(+),cluster_15,lesion,747,1342,0.007188496203379216,0.0064625185165204,0.0007259776868588164,602250.5,2.067447103279481e-14,True,7.016790168706118e-14
BHLHE40,BHLHE40(+),cluster_19,lesion,727,721,0.024757587262644265,0.021645592176717198,0.003111995085927067,333472.0,2.874567283981657e-19,True,1.5331025514568837e-18
BHLHE40,BHLHE40(+),cluster_25,lesion,529,607,0.013238994224204895,0.013141169648583109,9.782457562178618e-05,162371.0,0.7415563875228279,True,0.7762085551640815
BHLHE40,BHLHE40(+),cluster_24,lesion,1183,87,0.011238210681301479,0.010737740960864647,0.0005004697204368316,56102.0,0.1597979984290474,True,0.2033792707278785
BHLHE40,BHLHE40(+),cluster_12,lesion,1692,659,0.02720815549351214,0.024140636655141653,0.003067518838370486,753255.0,5.072124193722865e-40,True,5.1643446336087357e-39
BHLHE40,BHLHE40(+),cluster_11,lesion,1765,653,0.014915385120350911,0.01578093407658307,-0.0008655489562321584,509458.5,1.1672978569764122e-05,False,2.6681093873746562e-05
BHLHE40,BHLHE40(+),cluster_23,lesion,1261,49,0.02651962333820798,0.022781140428199207,0.0037384829100087745,44318.5,2.3817826222699985e-07,True,6.062719402141815e-07
BHLHE40,BHLHE40(+),cluster_20,lesion,1415,31,0.004965795653802258,0.008050140877465313,-0.0030843452236630547,9728.0,1.1114650669740136e-07,False,2.963906845264036e-07
SOX2,SOX2(+),cluster_2,lesion,2038,2239,0.006576560501977572,0.002737964729925423,0.003838595772052149,2385349.0,4.959573954250757e-07,True,1.234382850835744e-06
SOX2,SOX2(+),cluster_4,lesion,1287,2523,0.006211297120388022,0.010666714709520882,-0.00445541758913286,1500833.0,8.952052800220302e-08,False,2.4454388137187165e-07
SOX2,SOX2(+),cluster_3,lesion,181,3681,0.05575087895529882,0.00332007935919916,0.05243079959609966,529361.5,4.247550981025208e-140,True,4.7572570987482325e-138
SOX2,SOX2(+),cluster_16,lesion,529,1229,0.01604513948559316,0.027100130680277123,-0.011054991194683964,270225.5,2.977204939287704e-10,False,9.262415366672857e-10
SOX2,SOX2(+),cluster_10,lesion,805,1646,0.07955580651232821,0.04246290364151844,0.037092902870809775,920190.0,6.54849695557003e-57,True,9.167895737798043e-56
SOX2,SOX2(+),cluster_18,lesion,59,1540,0.010888546481766804,0.012727272727272714,-0.0018387262455059096,45589.0,0.9552367647096045,False,0.958790986643465
SOX2,SOX2(+),cluster_26,lesion,291,712,0.0014370509215870027,0.0026344909771876023,-0.0011974400556005996,98983.0,0.012137805853283836,False,0.018125790074237196
SOX2,SOX2(+),cluster_28,lesion,405,373,0.001900486344930787,0.00048744820862783243,0.0014130381363029545,78062.0,0.007014415725894325,True,0.01122306516143092
SOX2,SOX2(+),cluster_9,lesion,57,2739,0.06326422115895797,0.06843019460763158,-0.005165973448673616,72154.0,0.3267057611482139,False,0.3934520994473114
SOX2,SOX2(+),cluster_5,lesion,1426,2039,0.0012431467550682118,0.001193395455288538,4.9751299779673746e-05,1452008.5,0.8561720959823624,True,0.8797364655965559
SOX2,SOX2(+),cluster_29,lesion,132,446,0.06359044995408626,0.05274493817094711,0.010845511783139153,34129.5,0.005138112366945859,True,0.008719220986332366
SOX2,SOX2(+),cluster_14,lesion,685,1438,0.0022694094226940924,0.0016984869557887614,0.000570922466905331,490547.5,0.6968854053047175,True,0.7363317490012109
SOX2,SOX2(+),cluster_8,lesion,64,3136,0.03129734848484846,0.02795106679035248,0.003346281694495981,103911.5,0.6042828225548706,True,0.650766116597553
SOX2,SOX2(+),cluster_31,lesion,90,206,0.06488215488215486,0.04386584289496908,0.02101631198718578,10785.5,0.02260830349106573,True,0.03205227836708053
SOX2,SOX2(+),cluster_30,lesion,226,273,0.09034593724859206,0.05820845820845817,0.03213747904013389,40446.0,1.8367199226967396e-09,True,5.559800847082023e-09
SOX2,SOX2(+),cluster_22,lesion,1372,37,0.02061798745472213,0.023013923013923,-0.0023959355592008715,27946.5,0.2433954064469369,False,0.2995635771654608
SOX2,SOX2(+),cluster_0,lesion,2105,2721,0.045016914993162,0.019531589322107495,0.025485325671054507,3694186.0,1.0429053568728564e-78,True,2.9201349992439978e-77
SOX2,SOX2(+),cluster_32,lesion,84,128,0.023196248196248177,0.01718749999999998,0.006008748196248196,5649.0,0.4880704226714898,True,0.5466388733920686
SOX2,SOX2(+),cluster_27,lesion,372,423,0.0004724666014988586,0.0006662368364496012,-0.00019377023495074257,78089.0,0.45395592278274177,False,0.5135662964814857
SOX2,SOX2(+),cluster_13,lesion,2157,167,0.0416501594526629,0.03135547087642893,0.010294688576233967,215973.0,1.3625851248997953e-05,True,3.052190679775541e-05
SOX2,SOX2(+),cluster_15,lesion,747,1342,0.0008640623098454409,0.000264191843923587,0.000599870465921854,510069.0,0.003885437647594315,True,0.006799515883290051
SOX2,SOX2(+),cluster_19,lesion,727,721,0.09968738276853818,0.09354852267473622,0.006138860093801962,259931.0,0.7856334668797277,True,0.814731002690088
SOX2,SOX2(+),cluster_25,lesion,529,607,0.06869450650168982,0.05485497478907688,0.013839531712612936,192633.0,4.8765797520852235e-09,True,1.4373077164040658e-08
SOX2,SOX2(+),cluster_24,lesion,1183,87,0.05880529726683569,0.04541971438523158,0.01338558288160411,58671.0,0.027610858099058503,True,0.0386552013386819
SOX2,SOX2(+),cluster_12,lesion,1692,659,0.06973637080020055,0.09038947900859885,-0.020653108208398302,458325.5,1.8674640922880687e-11,False,5.975885095321819e-11
SOX2,SOX2(+),cluster_11,lesion,1765,653,0.028766417718259052,0.025467539096941834,0.003298878621317218,613473.0,0.009877526098453467,True,0.014949769230091734
SOX2,SOX2(+),cluster_23,lesion,1261,49,0.1079542450676471,0.10643166357452069,0.0015225814931264098,32018.0,0.6655089626038785,True,0.7098762267774704
SOX2,SOX2(+),cluster_20,lesion,1415,31,0.001143591390941213,0.00488758553274682,-0.003743994141805607,19024.5,2.1502132442967257e-05,False,4.631228526177563e-05
