tf,regulon,regulon_rank_by_fdr_absdiff,regulon_effect_group,regulon_mean_diff_lesion_minus_internal_control,regulon_p_value,regulon_fdr,n_lesion,n_internal_control,mean_expr_group1,mean_expr_group2,median_expr_group1,median_expr_group2,mean_expr_lesion,mean_expr_internal_control,positive_fraction_group1,positive_fraction_group2,positive_fraction_lesion,positive_fraction_internal_control,log2fc_group1_vs_group2,log2fc_lesion_vs_internal_control,abs_log2fc_group1_vs_group2,expr_wilcoxon_statistic,expr_wilcoxon_p,expr_higher_group,positive_fraction_in_higher_group,direction_consistent_with_regulon,expr_wilcoxon_fdr,regulon_sig_pass,expr_sig_pass,positive_fraction_pass,direction_pass,logfc_pass,shortlist_tier,shortlist_keep,shortlist_reason_tags
SATB2,SATB2(+),2,internal_control,-0.0705325673696943,1.0567786168620208e-100,5.548087738525609e-99,888,1434,0.5844594594594594,0.9539748953974896,0.0,0.0,0.5844594594594594,0.9539748953974896,0.17567567567567569,0.4107391910739191,0.17567567567567569,0.4107391910739191,-0.7058935339628609,-0.7058935339628609,0.7058935339628609,482956.0,2.1291395344764308e-32,internal_control,0.4107391910739191,True,2.342053487924074e-31,True,True,True,True,True,high,True,regulon_sig;expr_sig;expr_detected;direction_match;logFC_strong
THRB,THRB(+),1,internal_control,-0.2451540690346588,3.8603762955303944e-116,4.053395110306913e-114,888,1434,1.5337837837837838,1.9707112970711298,0.0,1.0,1.5337837837837838,1.9707112970711298,0.44256756756756754,0.6415620641562064,0.44256756756756754,0.6415620641562064,-0.3614128972332711,-0.3614128972332711,0.3614128972332711,494129.5,1.3591346604568527e-21,internal_control,0.6415620641562064,True,7.47524063251269e-21,True,True,True,True,True,high,True,regulon_sig;expr_sig;expr_detected;direction_match;logFC_strong
RARB,RARB(+),3,internal_control,-0.0461046099896761,5.619653643887133e-83,1.9668787753604963e-81,888,1434,0.23085585585585586,0.3584379358437936,0.0,0.0,0.23085585585585586,0.3584379358437936,0.11261261261261261,0.2315202231520223,0.11261261261261261,0.2315202231520223,-0.6325145174570053,-0.6325145174570053,0.6325145174570053,562273.5,2.6176237734857405e-12,internal_control,0.2315202231520223,True,9.597953836114382e-12,True,True,True,True,True,high,True,regulon_sig;expr_sig;expr_detected;direction_match;logFC_strong
BHLHE40,BHLHE40(+),18,lesion,0.0202154966666537,2.1874907216400125e-35,1.2760362542900071e-34,888,1434,0.21734234234234234,0.09832635983263599,0.0,0.0,0.21734234234234234,0.09832635983263599,0.15878378378378377,0.08647140864714087,0.15878378378378377,0.08647140864714087,1.1363433892502643,1.1363433892502643,1.1363433892502643,683719.0,5.563451290129727e-08,lesion,0.15878378378378377,True,1.529949104785675e-07,True,True,True,True,True,high,True,regulon_sig;expr_sig;expr_detected;direction_match;logFC_strong
NFE2L2,NFE2L2(+),28,lesion,0.0088982287939654,4.367644726134391e-20,1.637866772300397e-19,888,1434,0.597972972972973,0.3716875871687587,0.0,0.0,0.597972972972973,0.3716875871687587,0.36261261261261263,0.2824267782426778,0.36261261261261263,0.2824267782426778,0.6845241377063578,0.6845241377063578,0.6845241377063578,697518.5,2.0400121525218367e-06,lesion,0.36261261261261263,True,4.488026735548041e-06,True,True,True,True,True,high,True,regulon_sig;expr_sig;expr_detected;direction_match;logFC_strong
SOX2,SOX2(+),5,lesion,0.0962344414532012,4.4710813819065815e-67,9.389270902003821e-66,888,1434,0.3310810810810811,0.20781032078103207,0.0,0.0,0.3310810810810811,0.20781032078103207,0.25225225225225223,0.17573221757322174,0.25225225225225223,0.17573221757322174,0.6693425125580267,0.6693425125580267,0.6693425125580267,687848.0,3.4681325618758974e-06,lesion,0.25225225225225223,True,6.358243030105812e-06,True,True,True,True,True,high,True,regulon_sig;expr_sig;expr_detected;direction_match;logFC_strong
HMGA1,HMGA1(+),29,lesion,0.0154330608166063,4.662581558216919e-20,1.6881760814233672e-19,888,1434,0.07545045045045046,0.044630404463040445,0.0,0.0,0.07545045045045046,0.044630404463040445,0.07207207207207207,0.041143654114365415,0.07207207207207207,0.041143654114365415,0.7445295603179917,0.7445295603179917,0.7445295603179917,656316.5,0.0012777557752058743,lesion,0.07207207207207207,True,0.002007901932466374,True,True,True,True,True,high,True,regulon_sig;expr_sig;expr_detected;direction_match;logFC_strong
TCF4,TCF4(+),8,internal_control,-0.1144129162725159,1.9171199428127388e-50,2.5162199249417195e-49,888,1434,4.148648648648648,3.829846582984658,3.0,3.0,4.148648648648648,3.829846582984658,0.7612612612612613,0.8821478382147838,0.7612612612612613,0.8821478382147838,0.11532593829075208,0.11532593829075208,0.11532593829075208,604870.0,0.04107729699681286,lesion,0.7612612612612613,False,0.05648128337061768,True,False,True,False,False,discard,False,regulon_sig;expr_detected
NR2F2,NR2F2(+),9,internal_control,-0.0344688851363947,2.3366097031844283e-50,2.7260446537151666e-49,888,1434,0.05518018018018018,0.04184100418410042,0.0,0.0,0.05518018018018018,0.04184100418410042,0.03490990990990991,0.030683403068340307,0.03490990990990991,0.030683403068340307,0.3910689545084058,0.3910689545084058,0.3910689545084058,639430.5,0.5696238520132224,lesion,0.03490990990990991,False,0.6962069302383829,True,False,False,False,True,discard,False,regulon_sig;logFC_strong
CEBPD,CEBPD(+),10,lesion,0.0766847044057966,9.647419988884369e-50,1.0129790988328588e-48,888,1434,0.04954954954954955,0.04881450488145049,0.0,0.0,0.04954954954954955,0.04881450488145049,0.04279279279279279,0.044630404463040445,0.04279279279279279,0.044630404463040445,0.021132351898493835,0.021132351898493835,0.021132351898493835,635575.0,0.8406683426999316,lesion,0.04279279279279279,True,0.9247351769699248,True,False,False,True,False,discard,False,regulon_sig;direction_match
ATF7,ATF7(+),27,lesion,0.0234219799829923,1.8152379147021053e-21,7.059258557174854e-21,888,1434,0.4099099099099099,0.3898186889818689,0.0,0.0,0.4099099099099099,0.3898186889818689,0.28716216216216217,0.2907949790794979,0.28716216216216217,0.2907949790794979,0.07232266563455078,0.07232266563455078,0.07232266563455078,637364.0,0.9573505677354439,lesion,0.28716216216216217,True,0.9573505677354439,True,False,True,True,False,discard,False,regulon_sig;expr_detected;direction_match
