compound,tool_compound_like,broad_epigenetic_modulator_like,weak_fdr_manual_review,low_cns_epilepsy_relevance,axis_preference,notes
(+)-MK-801 hydrogen maleate,false,false,true,true,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
(-)-Epigallocatechin gallate,false,false,false,false,NFE2L2,auto_v21_default
0175029-0000,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
1-Methyl-5-(3-pyridinyl)-2-pyrrolidinone,false,false,true,true,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
1-butanol,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
2'-Deoxy cyclic AMP,false,false,true,true,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
4-Hydroxytamoxifen,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
5-Fluorouracil,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
7646-79-9,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
"8-Bromo-cAMP, Na",false,false,false,true,supplementary,CNS/epilepsy 转化语境不足或需人工核查。
8-azaguanine,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
AC1L1FUW,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
BARIUM,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
Bisphenol A,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
COUMESTROL,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
Caspan,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
Chlorpyrifos oxon,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
Copper sulfate,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
DL-Glutamic acid,false,false,true,true,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
DL-Methamphetamine,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
Deferoxamine hydrochloride,false,false,false,true,supplementary,CNS/epilepsy 转化语境不足或需人工核查。
Diacetylmorphine,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
EXEMESTANE,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
